,intera,.value,.lower,.upper,.width,.point,.interval,group1,group2,id
297,Syrphidae.C - Diptera.C,0.140188165,0.095600604,0.181650292,0.95,mode,hdi,Syrphidae.C,Diptera.C,sig***
304,Hymenoptera.D - Diptera.D,-0.1593072,-0.323379534,-0.003523931,0.95,mode,hdi,Hymenoptera.D,Diptera.D,sig***
309,Lepidoptera.D - Diptera.D,-0.153986149,-0.268066931,-0.051711043,0.95,mode,hdi,Lepidoptera.D,Diptera.D,sig***
314,Syrphidae.D - Diptera.D,0.114924651,0.018481885,0.194995782,0.95,mode,hdi,Syrphidae.D,Diptera.D,sig***
320,Hymenoptera.E - Diptera.E,-0.226513096,-0.368732586,-0.05526363,0.95,mode,hdi,Hymenoptera.E,Diptera.E,sig***
330,Syrphidae.E - Diptera.E,0.379888985,0.190486539,0.619023269,0.95,mode,hdi,Syrphidae.E,Diptera.E,sig***
335,Lepidoptera.A - Hymenoptera.A,-0.117317205,-0.21504131,-0.011932644,0.95,mode,hdi,Lepidoptera.A,Hymenoptera.A,sig***
367,Syrphidae.C - Hymenoptera.C,0.180036451,0.131664609,0.235260037,0.95,mode,hdi,Syrphidae.C,Hymenoptera.C,sig***
379,Syrphidae.D - Hymenoptera.D,0.284436325,0.121832101,0.430842716,0.95,mode,hdi,Syrphidae.D,Hymenoptera.D,sig***
390,Syrphidae.E - Hymenoptera.E,0.628588098,0.332840157,0.850021579,0.95,mode,hdi,Syrphidae.E,Hymenoptera.E,sig***
412,Syrphidae.C - Lepidoptera.C,0.161710397,0.108483338,0.214334027,0.95,mode,hdi,Syrphidae.C,Lepidoptera.C,sig***
419,Syrphidae.D - Lepidoptera.D,0.251667254,0.168644973,0.377166121,0.95,mode,hdi,Syrphidae.D,Lepidoptera.D,sig***
425,Syrphidae.E - Lepidoptera.E,0.492758692,0.258002095,0.727267798,0.95,mode,hdi,Syrphidae.E,Lepidoptera.E,sig***
1,Bee.B - Bee.A,-0.202546427,-0.760400377,0.334652487,0.95,mode,hdi,Bee.B,Bee.A,n.s.
2,Bee.C - Bee.A,-0.158137415,-0.549232524,0.16378846,0.95,mode,hdi,Bee.C,Bee.A,n.s.
3,Bee.D - Bee.A,0.176804971,-0.269864135,0.630314933,0.95,mode,hdi,Bee.D,Bee.A,n.s.
4,Bee.E - Bee.A,-0.548898543,-1.045676787,-0.032741669,0.95,mode,hdi,Bee.E,Bee.A,sig***
6,Coleoptera.B - Bee.A,-0.219776558,-0.801626243,0.301028263,0.95,mode,hdi,Coleoptera.B,Bee.A,n.s.
7,Coleoptera.C - Bee.A,-0.205038672,-0.573867052,0.130477653,0.95,mode,hdi,Coleoptera.C,Bee.A,n.s.
8,Coleoptera.D - Bee.A,0.048358192,-0.438423968,0.486591778,0.95,mode,hdi,Coleoptera.D,Bee.A,n.s.
9,Coleoptera.E - Bee.A,-0.602640526,-1.204115993,0.046908146,0.95,mode,hdi,Coleoptera.E,Bee.A,n.s.
11,Diptera.B - Bee.A,-0.242554491,-0.811577175,0.278598823,0.95,mode,hdi,Diptera.B,Bee.A,n.s.
12,Diptera.C - Bee.A,-0.231289017,-0.615419792,0.094771328,0.95,mode,hdi,Diptera.C,Bee.A,n.s.
13,Diptera.D - Bee.A,0.095028569,-0.346522851,0.553616003,0.95,mode,hdi,Diptera.D,Bee.A,n.s.
14,Diptera.E - Bee.A,-0.301260077,-0.736727982,0.24875201,0.95,mode,hdi,Diptera.E,Bee.A,n.s.
16,Hymenoptera.B - Bee.A,-0.162108217,-0.740268676,0.350155298,0.95,mode,hdi,Hymenoptera.B,Bee.A,n.s.
17,Hymenoptera.C - Bee.A,-0.273807985,-0.652699179,0.066218385,0.95,mode,hdi,Hymenoptera.C,Bee.A,n.s.
18,Hymenoptera.D - Bee.A,-0.107055586,-0.56520725,0.371374456,0.95,mode,hdi,Hymenoptera.D,Bee.A,n.s.
19,Hymenoptera.E - Bee.A,-0.462517767,-0.985686039,0.035018704,0.95,mode,hdi,Hymenoptera.E,Bee.A,n.s.
21,Lepidoptera.B - Bee.A,-0.139293369,-0.728552429,0.385689334,0.95,mode,hdi,Lepidoptera.B,Bee.A,n.s.
22,Lepidoptera.C - Bee.A,-0.253811774,-0.611849473,0.102871966,0.95,mode,hdi,Lepidoptera.C,Bee.A,n.s.
23,Lepidoptera.D - Bee.A,-0.061688172,-0.510469977,0.4054711,0.95,mode,hdi,Lepidoptera.D,Bee.A,n.s.
24,Lepidoptera.E - Bee.A,-0.366870338,-0.869370691,0.135226469,0.95,mode,hdi,Lepidoptera.E,Bee.A,n.s.
26,Syrphidae.B - Bee.A,-0.118519632,-0.598057588,0.518315173,0.95,mode,hdi,Syrphidae.B,Bee.A,n.s.
27,Syrphidae.C - Bee.A,-0.08869139,-0.460760124,0.251557247,0.95,mode,hdi,Syrphidae.C,Bee.A,n.s.
28,Syrphidae.D - Bee.A,0.212745481,-0.272119506,0.629764474,0.95,mode,hdi,Syrphidae.D,Bee.A,n.s.
29,Syrphidae.E - Bee.A,0.105122734,-0.389589408,0.675809194,0.95,mode,hdi,Syrphidae.E,Bee.A,n.s.
30,Bee.C - Bee.B,0.030074909,-0.433456226,0.529648427,0.95,mode,hdi,Bee.C,Bee.B,n.s.
31,Bee.D - Bee.B,0.3753565,-0.172110424,0.937428564,0.95,mode,hdi,Bee.D,Bee.B,n.s.
32,Bee.E - Bee.B,-0.264088144,-0.860355832,0.268537544,0.95,mode,hdi,Bee.E,Bee.B,n.s.
33,Coleoptera.A - Bee.B,-0.177337037,-0.727081262,0.377543937,0.95,mode,hdi,Coleoptera.A,Bee.B,n.s.
34,Coleoptera.B - Bee.B,-0.016968255,-0.155498384,0.102069162,0.95,mode,hdi,Coleoptera.B,Bee.B,n.s.
35,Coleoptera.C - Bee.B,-0.026961345,-0.477390592,0.488705544,0.95,mode,hdi,Coleoptera.C,Bee.B,n.s.
36,Coleoptera.D - Bee.B,0.2573754,-0.320709683,0.813512658,0.95,mode,hdi,Coleoptera.D,Bee.B,n.s.
37,Coleoptera.E - Bee.B,-0.390479263,-1.051778707,0.273893183,0.95,mode,hdi,Coleoptera.E,Bee.B,n.s.
38,Diptera.A - Bee.B,-0.040483212,-0.575286086,0.533597447,0.95,mode,hdi,Diptera.A,Bee.B,n.s.
39,Diptera.B - Bee.B,-0.050706275,-0.152419286,0.04703492,0.95,mode,hdi,Diptera.B,Bee.B,n.s.
40,Diptera.C - Bee.B,-0.049876667,-0.50061936,0.456583686,0.95,mode,hdi,Diptera.C,Bee.B,n.s.
41,Diptera.D - Bee.B,0.260074683,-0.262100727,0.854735587,0.95,mode,hdi,Diptera.D,Bee.B,n.s.
42,Diptera.E - Bee.B,-0.037774854,-0.572680347,0.523702834,0.95,mode,hdi,Diptera.E,Bee.B,n.s.
43,Hymenoptera.A - Bee.B,-0.064533837,-0.607766903,0.503071636,0.95,mode,hdi,Hymenoptera.A,Bee.B,n.s.
44,Hymenoptera.B - Bee.B,0.032250886,-0.092168807,0.140147185,0.95,mode,hdi,Hymenoptera.B,Bee.B,n.s.
45,Hymenoptera.C - Bee.B,-0.089379205,-0.546281781,0.420559126,0.95,mode,hdi,Hymenoptera.C,Bee.B,n.s.
46,Hymenoptera.D - Bee.B,0.139744071,-0.436655133,0.701051607,0.95,mode,hdi,Hymenoptera.D,Bee.B,n.s.
47,Hymenoptera.E - Bee.B,-0.25905227,-0.77817872,0.361455429,0.95,mode,hdi,Hymenoptera.E,Bee.B,n.s.
48,Lepidoptera.A - Bee.B,-0.16609156,-0.716944133,0.387031258,0.95,mode,hdi,Lepidoptera.A,Bee.B,n.s.
49,Lepidoptera.B - Bee.B,0.063356503,-0.069316713,0.217367308,0.95,mode,hdi,Lepidoptera.B,Bee.B,n.s.
50,Lepidoptera.C - Bee.B,-0.005637616,-0.51696927,0.44722716,0.95,mode,hdi,Lepidoptera.C,Bee.B,n.s.
51,Lepidoptera.D - Bee.B,0.118400468,-0.420420925,0.692198153,0.95,mode,hdi,Lepidoptera.D,Bee.B,n.s.
52,Lepidoptera.E - Bee.B,-0.118735243,-0.667000692,0.45154573,0.95,mode,hdi,Lepidoptera.E,Bee.B,n.s.
53,Syrphidae.A - Bee.B,-0.117135444,-0.661335368,0.440435588,0.95,mode,hdi,Syrphidae.A,Bee.B,n.s.
54,Syrphidae.B - Bee.B,0.141913546,-0.007797365,0.319131541,0.95,mode,hdi,Syrphidae.B,Bee.B,n.s.
55,Syrphidae.C - Bee.B,0.110565203,-0.39540849,0.567134265,0.95,mode,hdi,Syrphidae.C,Bee.B,n.s.
56,Syrphidae.D - Bee.B,0.397609582,-0.133224775,0.988097201,0.95,mode,hdi,Syrphidae.D,Bee.B,n.s.
57,Syrphidae.E - Bee.B,0.367235331,-0.191183942,0.960429697,0.95,mode,hdi,Syrphidae.E,Bee.B,n.s.
58,Bee.D - Bee.C,0.323247589,-0.00514039,0.713261587,0.95,mode,hdi,Bee.D,Bee.C,n.s.
59,Bee.E - Bee.C,-0.357423158,-0.76803483,0.094733418,0.95,mode,hdi,Bee.E,Bee.C,n.s.
60,Coleoptera.A - Bee.C,-0.223477621,-0.57036307,0.149538296,0.95,mode,hdi,Coleoptera.A,Bee.C,n.s.
61,Coleoptera.B - Bee.C,-0.011901542,-0.554994819,0.42753684,0.95,mode,hdi,Coleoptera.B,Bee.C,n.s.
62,Coleoptera.C - Bee.C,-0.045400924,-0.088581697,0.00080027,0.95,mode,hdi,Coleoptera.C,Bee.C,n.s.
63,Coleoptera.D - Bee.C,0.21676624,-0.167807508,0.597161903,0.95,mode,hdi,Coleoptera.D,Bee.C,n.s.
64,Coleoptera.E - Bee.C,-0.403258685,-0.983910062,0.19262348,0.95,mode,hdi,Coleoptera.E,Bee.C,n.s.
65,Diptera.A - Bee.C,-0.04656735,-0.421347848,0.287454758,0.95,mode,hdi,Diptera.A,Bee.C,n.s.
66,Diptera.B - Bee.C,-0.058612311,-0.573524398,0.391972304,0.95,mode,hdi,Diptera.B,Bee.C,n.s.
68,Diptera.D - Bee.C,0.261343576,-0.125113554,0.609406068,0.95,mode,hdi,Diptera.D,Bee.C,n.s.
69,Diptera.E - Bee.C,-0.107399258,-0.494287889,0.352761842,0.95,mode,hdi,Diptera.E,Bee.C,n.s.
70,Hymenoptera.A - Bee.C,-0.085843305,-0.453208549,0.269203482,0.95,mode,hdi,Hymenoptera.A,Bee.C,n.s.
71,Hymenoptera.B - Bee.C,-0.011484973,-0.487315451,0.487345784,0.95,mode,hdi,Hymenoptera.B,Bee.C,n.s.
73,Hymenoptera.D - Bee.C,0.095948432,-0.278484025,0.486362511,0.95,mode,hdi,Hymenoptera.D,Bee.C,n.s.
74,Hymenoptera.E - Bee.C,-0.308807123,-0.715532737,0.17768443,0.95,mode,hdi,Hymenoptera.E,Bee.C,n.s.
75,Lepidoptera.A - Bee.C,-0.242316869,-0.566469746,0.145397707,0.95,mode,hdi,Lepidoptera.A,Bee.C,n.s.
76,Lepidoptera.B - Bee.C,-0.006132777,-0.472466703,0.501296483,0.95,mode,hdi,Lepidoptera.B,Bee.C,n.s.
78,Lepidoptera.D - Bee.C,0.079031889,-0.267453125,0.459535069,0.95,mode,hdi,Lepidoptera.D,Bee.C,n.s.
79,Lepidoptera.E - Bee.C,-0.18735385,-0.601320417,0.258910769,0.95,mode,hdi,Lepidoptera.E,Bee.C,n.s.
80,Syrphidae.A - Bee.C,-0.149468911,-0.526966322,0.186120571,0.95,mode,hdi,Syrphidae.A,Bee.C,n.s.
81,Syrphidae.B - Bee.C,0.086601988,-0.389316192,0.601779136,0.95,mode,hdi,Syrphidae.B,Bee.C,n.s.
84,Syrphidae.E - Bee.C,0.289407034,-0.138122344,0.783209217,0.95,mode,hdi,Syrphidae.E,Bee.C,n.s.
85,Bee.E - Bee.D,-0.680391658,-1.2348989,-0.181598762,0.95,mode,hdi,Bee.E,Bee.D,sig***
86,Coleoptera.A - Bee.D,-0.587068638,-1.02425747,-0.127366924,0.95,mode,hdi,Coleoptera.A,Bee.D,sig***
87,Coleoptera.B - Bee.D,-0.38055175,-1.003619756,0.136687903,0.95,mode,hdi,Coleoptera.B,Bee.D,n.s.
88,Coleoptera.C - Bee.D,-0.380785045,-0.763386945,-0.036473537,0.95,mode,hdi,Coleoptera.C,Bee.D,sig***
90,Coleoptera.E - Bee.D,-0.761754567,-1.367825938,-0.058564009,0.95,mode,hdi,Coleoptera.E,Bee.D,sig***
91,Diptera.A - Bee.D,-0.432964685,-0.861413047,0.027635766,0.95,mode,hdi,Diptera.A,Bee.D,n.s.
92,Diptera.B - Bee.D,-0.417029438,-1.015260271,0.095499704,0.95,mode,hdi,Diptera.B,Bee.D,n.s.
93,Diptera.C - Bee.D,-0.394917125,-0.779683417,-0.056258732,0.95,mode,hdi,Diptera.C,Bee.D,sig***
94,Diptera.D - Bee.D,-0.086661682,-0.180293802,0.004300639,0.95,mode,hdi,Diptera.D,Bee.D,n.s.
95,Diptera.E - Bee.D,-0.395235172,-0.897871708,0.139463877,0.95,mode,hdi,Diptera.E,Bee.D,n.s.
96,Hymenoptera.A - Bee.D,-0.490013276,-0.880437356,0.024207381,0.95,mode,hdi,Hymenoptera.A,Bee.D,n.s.
97,Hymenoptera.B - Bee.D,-0.32918418,-0.942685245,0.173778498,0.95,mode,hdi,Hymenoptera.B,Bee.D,n.s.
98,Hymenoptera.C - Bee.D,-0.431553732,-0.83866437,-0.111185684,0.95,mode,hdi,Hymenoptera.C,Bee.D,sig***
100,Hymenoptera.E - Bee.D,-0.652530494,-1.168835962,-0.091522228,0.95,mode,hdi,Hymenoptera.E,Bee.D,sig***
101,Lepidoptera.A - Bee.D,-0.580425704,-1.000633503,-0.102167348,0.95,mode,hdi,Lepidoptera.A,Bee.D,sig***
102,Lepidoptera.B - Bee.D,-0.310281385,-0.901779719,0.235554216,0.95,mode,hdi,Lepidoptera.B,Bee.D,n.s.
103,Lepidoptera.C - Bee.D,-0.41670435,-0.795368905,-0.067767816,0.95,mode,hdi,Lepidoptera.C,Bee.D,sig***
105,Lepidoptera.E - Bee.D,-0.530414292,-1.027553471,0.022800609,0.95,mode,hdi,Lepidoptera.E,Bee.D,n.s.
106,Syrphidae.A - Bee.D,-0.504941664,-0.968395807,-0.073189242,0.95,mode,hdi,Syrphidae.A,Bee.D,sig***
107,Syrphidae.B - Bee.D,-0.161390313,-0.832547353,0.303919061,0.95,mode,hdi,Syrphidae.B,Bee.D,n.s.
108,Syrphidae.C - Bee.D,-0.253326221,-0.646515624,0.079442636,0.95,mode,hdi,Syrphidae.C,Bee.D,n.s.
109,Syrphidae.D - Bee.D,0.020998404,-0.062571381,0.108512348,0.95,mode,hdi,Syrphidae.D,Bee.D,n.s.
110,Syrphidae.E - Bee.D,-0.021954195,-0.557616301,0.529633109,0.95,mode,hdi,Syrphidae.E,Bee.D,n.s.
111,Coleoptera.A - Bee.E,0.108721696,-0.413534999,0.604660196,0.95,mode,hdi,Coleoptera.A,Bee.E,n.s.
112,Coleoptera.B - Bee.E,0.213185243,-0.261370948,0.870582016,0.95,mode,hdi,Coleoptera.B,Bee.E,n.s.
113,Coleoptera.C - Bee.E,0.306383899,-0.130109451,0.731934061,0.95,mode,hdi,Coleoptera.C,Bee.E,n.s.
114,Coleoptera.D - Bee.E,0.577048964,0.022300134,1.109967451,0.95,mode,hdi,Coleoptera.D,Bee.E,sig***
115,Coleoptera.E - Bee.E,-0.059120315,-0.465563386,0.398623648,0.95,mode,hdi,Coleoptera.E,Bee.E,n.s.
116,Diptera.A - Bee.E,0.325489593,-0.209647952,0.801355195,0.95,mode,hdi,Diptera.A,Bee.E,n.s.
117,Diptera.B - Bee.E,0.208180525,-0.298239894,0.820295771,0.95,mode,hdi,Diptera.B,Bee.E,n.s.
118,Diptera.C - Bee.E,0.281918915,-0.141810064,0.720962213,0.95,mode,hdi,Diptera.C,Bee.E,n.s.
119,Diptera.D - Bee.E,0.615420875,0.091942321,1.143804384,0.95,mode,hdi,Diptera.D,Bee.E,sig***
121,Hymenoptera.A - Bee.E,0.28395967,-0.256109012,0.75291015,0.95,mode,hdi,Hymenoptera.A,Bee.E,n.s.
122,Hymenoptera.B - Bee.E,0.428905754,-0.221128779,0.911729373,0.95,mode,hdi,Hymenoptera.B,Bee.E,n.s.
123,Hymenoptera.C - Bee.E,0.255966239,-0.183617172,0.684259736,0.95,mode,hdi,Hymenoptera.C,Bee.E,n.s.
124,Hymenoptera.D - Bee.E,0.509632147,-0.076596128,1.020986831,0.95,mode,hdi,Hymenoptera.D,Bee.E,n.s.
125,Hymenoptera.E - Bee.E,0.093433419,-0.118891741,0.273370828,0.95,mode,hdi,Hymenoptera.E,Bee.E,n.s.
126,Lepidoptera.A - Bee.E,0.161252744,-0.375165374,0.626999194,0.95,mode,hdi,Lepidoptera.A,Bee.E,n.s.
127,Lepidoptera.B - Bee.E,0.367907182,-0.185357014,0.966676395,0.95,mode,hdi,Lepidoptera.B,Bee.E,n.s.
128,Lepidoptera.C - Bee.E,0.267760971,-0.176329348,0.677670686,0.95,mode,hdi,Lepidoptera.C,Bee.E,n.s.
129,Lepidoptera.D - Bee.E,0.456339775,-0.072678245,0.9916789,0.95,mode,hdi,Lepidoptera.D,Bee.E,n.s.
131,Syrphidae.A - Bee.E,0.219080851,-0.282223992,0.736104236,0.95,mode,hdi,Syrphidae.A,Bee.E,n.s.
132,Syrphidae.B - Bee.E,0.447057751,-0.114091824,1.04629397,0.95,mode,hdi,Syrphidae.B,Bee.E,n.s.
133,Syrphidae.C - Bee.E,0.424517387,-0.003736044,0.856896001,0.95,mode,hdi,Syrphidae.C,Bee.E,n.s.
134,Syrphidae.D - Bee.E,0.688641261,0.197813951,1.254881734,0.95,mode,hdi,Syrphidae.D,Bee.E,sig***
136,Coleoptera.B - Coleoptera.A,0.203633208,-0.409553492,0.69598525,0.95,mode,hdi,Coleoptera.B,Coleoptera.A,n.s.
137,Coleoptera.C - Coleoptera.A,0.226548393,-0.180351226,0.532820977,0.95,mode,hdi,Coleoptera.C,Coleoptera.A,n.s.
138,Coleoptera.D - Coleoptera.A,0.438338539,0.001548671,0.934031254,0.95,mode,hdi,Coleoptera.D,Coleoptera.A,sig***
139,Coleoptera.E - Coleoptera.A,-0.232995437,-0.790951093,0.46898885,0.95,mode,hdi,Coleoptera.E,Coleoptera.A,n.s.
141,Diptera.B - Coleoptera.A,0.146748815,-0.396487582,0.707821683,0.95,mode,hdi,Diptera.B,Coleoptera.A,n.s.
142,Diptera.C - Coleoptera.A,0.171396331,-0.208318745,0.503011586,0.95,mode,hdi,Diptera.C,Coleoptera.A,n.s.
143,Diptera.D - Coleoptera.A,0.499077082,0.035764996,0.942128952,0.95,mode,hdi,Diptera.D,Coleoptera.A,sig***
144,Diptera.E - Coleoptera.A,0.088592943,-0.352109615,0.644977782,0.95,mode,hdi,Diptera.E,Coleoptera.A,n.s.
146,Hymenoptera.B - Coleoptera.A,0.201074603,-0.305671065,0.806361279,0.95,mode,hdi,Hymenoptera.B,Coleoptera.A,n.s.
147,Hymenoptera.C - Coleoptera.A,0.13580568,-0.263910329,0.455550578,0.95,mode,hdi,Hymenoptera.C,Coleoptera.A,n.s.
148,Hymenoptera.D - Coleoptera.A,0.291278454,-0.137728272,0.809956501,0.95,mode,hdi,Hymenoptera.D,Coleoptera.A,n.s.
149,Hymenoptera.E - Coleoptera.A,-0.073295725,-0.544516181,0.491118373,0.95,mode,hdi,Hymenoptera.E,Coleoptera.A,n.s.
150,Lepidoptera.A - Coleoptera.A,0.012375722,-0.090569657,0.11545096,0.95,mode,hdi,Lepidoptera.A,Coleoptera.A,n.s.
151,Lepidoptera.B - Coleoptera.A,0.298353317,-0.330354199,0.793558481,0.95,mode,hdi,Lepidoptera.B,Coleoptera.A,n.s.
152,Lepidoptera.C - Coleoptera.A,0.125624009,-0.236177523,0.476864249,0.95,mode,hdi,Lepidoptera.C,Coleoptera.A,n.s.
153,Lepidoptera.D - Coleoptera.A,0.318525945,-0.122951627,0.78826225,0.95,mode,hdi,Lepidoptera.D,Coleoptera.A,n.s.
154,Lepidoptera.E - Coleoptera.A,0.036673951,-0.472361669,0.532843827,0.95,mode,hdi,Lepidoptera.E,Coleoptera.A,n.s.
155,Syrphidae.A - Coleoptera.A,0.058946198,-0.044621654,0.160081362,0.95,mode,hdi,Syrphidae.A,Coleoptera.A,n.s.
156,Syrphidae.B - Coleoptera.A,0.348134788,-0.254935123,0.869353432,0.95,mode,hdi,Syrphidae.B,Coleoptera.A,n.s.
157,Syrphidae.C - Coleoptera.A,0.323368513,-0.074795404,0.641585242,0.95,mode,hdi,Syrphidae.C,Coleoptera.A,n.s.
158,Syrphidae.D - Coleoptera.A,0.61139516,0.128780044,1.038247666,0.95,mode,hdi,Syrphidae.D,Coleoptera.A,sig***
159,Syrphidae.E - Coleoptera.A,0.552384894,0.014692863,1.078843606,0.95,mode,hdi,Syrphidae.E,Coleoptera.A,sig***
160,Coleoptera.C - Coleoptera.B,-0.021187098,-0.451053303,0.524725687,0.95,mode,hdi,Coleoptera.C,Coleoptera.B,n.s.
161,Coleoptera.D - Coleoptera.B,0.228830154,-0.304545517,0.841004352,0.95,mode,hdi,Coleoptera.D,Coleoptera.B,n.s.
162,Coleoptera.E - Coleoptera.B,-0.391272133,-0.99960064,0.327226795,0.95,mode,hdi,Coleoptera.E,Coleoptera.B,n.s.
163,Diptera.A - Coleoptera.B,-0.045919338,-0.527084205,0.588032618,0.95,mode,hdi,Diptera.A,Coleoptera.B,n.s.
164,Diptera.B - Coleoptera.B,-0.031254542,-0.143416224,0.082946462,0.95,mode,hdi,Diptera.B,Coleoptera.B,n.s.
165,Diptera.C - Coleoptera.B,-0.052911007,-0.476006493,0.502454397,0.95,mode,hdi,Diptera.C,Coleoptera.B,n.s.
166,Diptera.D - Coleoptera.B,0.287564493,-0.233948545,0.904059238,0.95,mode,hdi,Diptera.D,Coleoptera.B,n.s.
167,Diptera.E - Coleoptera.B,0.04300105,-0.575461462,0.53139519,0.95,mode,hdi,Diptera.E,Coleoptera.B,n.s.
168,Hymenoptera.A - Coleoptera.B,-0.039127147,-0.593406063,0.518644823,0.95,mode,hdi,Hymenoptera.A,Coleoptera.B,n.s.
169,Hymenoptera.B - Coleoptera.B,0.040003334,-0.075094949,0.176942866,0.95,mode,hdi,Hymenoptera.B,Coleoptera.B,n.s.
170,Hymenoptera.C - Coleoptera.B,-0.092511047,-0.537141874,0.444199354,0.95,mode,hdi,Hymenoptera.C,Coleoptera.B,n.s.
171,Hymenoptera.D - Coleoptera.B,0.137821495,-0.411803503,0.746681755,0.95,mode,hdi,Hymenoptera.D,Coleoptera.B,n.s.
172,Hymenoptera.E - Coleoptera.B,-0.189212953,-0.781235108,0.370196949,0.95,mode,hdi,Hymenoptera.E,Coleoptera.B,n.s.
173,Lepidoptera.A - Coleoptera.B,-0.152247953,-0.664627832,0.454675883,0.95,mode,hdi,Lepidoptera.A,Coleoptera.B,n.s.
174,Lepidoptera.B - Coleoptera.B,0.080409353,-0.054794581,0.234360651,0.95,mode,hdi,Lepidoptera.B,Coleoptera.B,n.s.
175,Lepidoptera.C - Coleoptera.B,-0.055687699,-0.528806131,0.452823299,0.95,mode,hdi,Lepidoptera.C,Coleoptera.B,n.s.
176,Lepidoptera.D - Coleoptera.B,0.139479357,-0.403144229,0.728944157,0.95,mode,hdi,Lepidoptera.D,Coleoptera.B,n.s.
177,Lepidoptera.E - Coleoptera.B,-0.09741244,-0.672967386,0.440781828,0.95,mode,hdi,Lepidoptera.E,Coleoptera.B,n.s.
178,Syrphidae.A - Coleoptera.B,-0.123253231,-0.632317941,0.487437541,0.95,mode,hdi,Syrphidae.A,Coleoptera.B,n.s.
179,Syrphidae.B - Coleoptera.B,0.177065473,-0.009159099,0.342981189,0.95,mode,hdi,Syrphidae.B,Coleoptera.B,n.s.
180,Syrphidae.C - Coleoptera.B,0.084921676,-0.343046455,0.641402908,0.95,mode,hdi,Syrphidae.C,Coleoptera.B,n.s.
181,Syrphidae.D - Coleoptera.B,0.395281655,-0.171125416,0.96533736,0.95,mode,hdi,Syrphidae.D,Coleoptera.B,n.s.
182,Syrphidae.E - Coleoptera.B,0.425413833,-0.204838407,0.950008596,0.95,mode,hdi,Syrphidae.E,Coleoptera.B,n.s.
