"","db","query","family","order","Genus"
"1287","ncbi","132",NA,NA,"Antherhynchium"
"1295","ncbi","358",NA,NA,"Catopsitia"
"1297","ncbi","397",NA,NA,"Cerogia"
"1298","ncbi","422",NA,NA,"Chatanys"
"1302","ncbi","460",NA,NA,"Chrisaeglia"
"1305","ncbi","618",NA,NA,"Demotina"
"1307","ncbi","680",NA,NA,"Dysderus"
"1308","ncbi","700",NA,NA,"Elaphromyia"
"1313","ncbi","728",NA,NA,"Eocanthecoma"
"1314","ncbi","731",NA,NA,"Epania"
"1318","ncbi","803",NA,NA,"Eumicromus"
"1319","ncbi","814",NA,NA,"Eupoasca"
"1324","ncbi","948",NA,NA,"Halticiellus"
"1326","ncbi","1032",NA,NA,"Hydropsychoides"
"1327","ncbi","1049",NA,NA,"Hyperalonia"
"1328","ncbi","1081",NA,NA,"Ischirosyrphus"
"1329","ncbi","1097",NA,NA,"Kandyosilis"
"1331","ncbi","1124",NA,NA,"Lebidia"
"1336","ncbi","1281",NA,NA,"Menochitus"
"1341","ncbi","1412",NA,NA,"Nodena"
"1342","ncbi","1451",NA,NA,"Oiphinus"
"1346","ncbi","1563",NA,NA,"Parapantitius"
"1350","ncbi","1647",NA,NA,"Philophyla"
"1351","ncbi","1651",NA,NA,"Pholo"
"1352","ncbi","1781",NA,NA,"Psamoecus"
"1353","ncbi","1800",NA,NA,"Pseudoloterus"
"1355","ncbi","1823",NA,NA,"Ptectoderoides"
"1359","ncbi","1914",NA,NA,"Scedella"
"1363","ncbi","1968",NA,NA,"Smoragdina"
"1364","ncbi","1996",NA,NA,"Stenocallinerus"
"1367","ncbi","2011",NA,NA,"Stictomyia"
"1368","ncbi","2018",NA,NA,"Stragamia"
"1369","ncbi","2060",NA,NA,"Tachytessp"
"1371","ncbi","2085",NA,NA,"Tetramonium"
"1373","ncbi","2119",NA,NA,"Tolidostena"
"1376","ncbi","2217",NA,NA,"Xyiocopa"
"1378","ncbi","2039",NA,NA,"Sympsitis"
"1380","ncbi","107",NA,NA,"Andreana"
"1382","ncbi","1876",NA,NA,"Rhynconycha"
"1400","ncbi","768",NA,NA,"Ernestia"
"1409","ncbi","1499",NA,NA,"Orthonerva"
"1411","ncbi","1741",NA,NA,"Potosia"
"1414","ncbi","1264",NA,NA,"Melanotoma"
"1415","ncbi","153",NA,NA,"Aphanthopus"
"1420","ncbi","745",NA,NA,"Epirrhoetristata"
"1427","ncbi","357",NA,NA,"Cateretes"
"1428","ncbi","1005",NA,NA,"Holoclera"
"1433","ncbi","9",NA,NA,"Aclonempis"
"1434","ncbi","61",NA,NA,"Alloestylus"
"1436","ncbi","546",NA,NA,"Craspedochoeata"
"1438","ncbi","2005",NA,NA,"Stenotus"
"1440","ncbi","454",NA,NA,"Chloropis"
"1443","ncbi","888",NA,NA,"Gastroidea"
"1444","ncbi","922",NA,NA,"Grammoptra"
"1449","ncbi","992",NA,NA,"Heteronychia"
"1454","ncbi","1043",NA,NA,"Hylotoma"
"1455","ncbi","1084",NA,NA,"Ischyrosyrphys"
"1456","ncbi","1105",NA,NA,"Laria"
"1459","ncbi","1347",NA,NA,"Morellis"
"1461","ncbi","1492",NA,NA,"Orthelia"
"1465","ncbi","1698",NA,NA,"Platycherius"
"1466","ncbi","1719",NA,NA,"Poletes"
"1471","ncbi","2021",NA,NA,"Stratiomya"
"1472","ncbi","2194",NA,NA,"Wahlgrenia"
"1474","ncbi","1721",NA,NA,"Policana"
"1476","ncbi","993",NA,NA,"Heterosarus"
"1477","ncbi","813",NA,NA,"Eupithesia"
"1481","ncbi","1448",NA,NA,"Oedemagena"
"1486","ncbi","2247",NA,NA,"Zypangia"
"1493","ncbi","1324",NA,NA,"Mikadocantharis"
"1503","ncbi","232",NA,NA,"Balataea"
"1508","ncbi","639",NA,NA,"Dideaides"
"1513","ncbi","882",NA,NA,"Gambrinus"
