IGenus,Family,Order
Hemicolletes,Colletidae,Hymenoptera
Hylaeus,Colletidae,Hymenoptera
Hyleaus,Colletidae,Hymenoptera
Hyphesma,Colletidae,Hymenoptera
Leioproctus,Colletidae,Hymenoptera
Paleorhiza,Colletidae,Hymenoptera
Policana,Colletidae,Hymenoptera
Xanthocolletes,Colletidae,Hymenoptera
Lonchopria,Colletidae,Hymenoptera
Willinkapis,Colletidae,Hymenoptera
Ptiloglossa,Colletidae,Hymenoptera
Perditomorpha,Colletidae,Hymenoptera
Tetraglossula,Colletidae,Hymenoptera
Sarocolletes,Colletidae,Hymenoptera
Conopidae,Conopidae,Diptera
Conops,Conopidae,Diptera
Leopoldius,Conopidae,Diptera
Myopa,Conopidae,Diptera
Physocephala,Conopidae,Diptera
Psysocephala,Conopidae,Diptera
Robertsonomyia,Conopidae,Diptera
Sicus,Conopidae,Diptera
Stylogaster,Conopidae,Diptera
Thecophora,Conopidae,Diptera
Zodion,Conopidae,Diptera
Coreidae,Coreidae,Diptera
Anasa,Coreidae,Hemiptera
Cletus,Coreidae,Hemiptera
Colpura,Coreidae,Hemiptera
Coriomeris,Coreidae,Hemiptera
Homoecerus,Coreidae,Hemiptera
Homoeocerus,Coreidae,Hemiptera
Loxocnemis,Coreidae,Hemiptera
Molipteryx,Coreidae,Hemiptera
Orthoperus,Corylophidae,Coleoptera
Alysson,Crabronidae,Hymenoptera
Ammatomus,Crabronidae,Hymenoptera
Anacrabro,Crabronidae,Hymenoptera
Bembicinus,Crabronidae,Hymenoptera
Bembix,Crabronidae,Hymenoptera
Bicyrtes,Crabronidae,Hymenoptera
Cemonus,Crabronidae,Hymenoptera
Cerceris,Crabronidae,Hymenoptera
Clytochrysus,Crabronidae,Hymenoptera
Crabro,Crabronidae,Hymenoptera
Crabronidae,Crabronidae,Hymenoptera
Crossocerus,Crabronidae,Hymenoptera
Diodontus,Crabronidae,Hymenoptera
Ectemnius,Crabronidae,Hymenoptera
Entomognathus,Crabronidae,Hymenoptera
Eucerceris,Crabronidae,Hymenoptera
Extemnius,Crabronidae,Hymenoptera
Gorytes,Crabronidae,Hymenoptera
Hypocrabro,Crabronidae,Hymenoptera
Larra,Crabronidae,Hymenoptera
Lestica,Crabronidae,Hymenoptera
Lindenius,Crabronidae,Hymenoptera
Lophocrabro,Crabronidae,Hymenoptera
Lyroda,Crabronidae,Hymenoptera
Mellinus,Crabronidae,Hymenoptera
Microbembex,Crabronidae,Hymenoptera
Microbembix,Crabronidae,Hymenoptera
Mimesa,Crabronidae,Hymenoptera
Notoglossa,Crabronidae,Hymenoptera
Notogonidea,Crabronidae,Hymenoptera
Nysson,Crabronidae,Hymenoptera
Oxybelus,Crabronidae,Hymenoptera
Passaloecus,Crabronidae,Hymenoptera
Pemphredon,Crabronidae,Hymenoptera
Philanthus,Crabronidae,Hymenoptera
Philantus,Crabronidae,Hymenoptera
Podagritus,Crabronidae,Hymenoptera
Protothyreopus,Crabronidae,Hymenoptera
Psen,Crabronidae,Hymenoptera
Psenulus,Crabronidae,Hymenoptera
Pseudocrabro,Crabronidae,Hymenoptera
Pseudoplisus,Crabronidae,Hymenoptera
Rhopalum,Crabronidae,Hymenoptera
Solenius,Crabronidae,Hymenoptera
Stictiella,Crabronidae,Hymenoptera
Stigmus,Crabronidae,Hymenoptera
Stizoides,Crabronidae,Hymenoptera
Stizus,Crabronidae,Hymenoptera
Tachites,Crabronidae,Hymenoptera
Tachysphex,Crabronidae,Hymenoptera
Tachytes,Crabronidae,Hymenoptera
Tachytessp,Crabronidae,Hymenoptera
Trpocylon,Crabronidae,Hymenoptera
Trypoxylon,Crabronidae,Hymenoptera
Xestocrabro,Crabronidae,Hymenoptera
Zanysson,Crabronidae,Hymenoptera
Trichostictia,Crabronidae,Hymenoptera
Bembicini,Crabronidae,Hymenoptera
Trachypus,Crabronidae,Hymenoptera
Aethaloessa,Crambidae,Lepidoptera
Bocchoris,Crambidae,Lepidoptera
Camptomastix,Crambidae,Lepidoptera
Catoptria,Crambidae,Lepidoptera
Conogethes,Crambidae,Lepidoptera
Crambidae,Crambidae,Lepidoptera
Crambus,Crambidae,Lepidoptera
Diasemia,Crambidae,Lepidoptera
Eudonia,Crambidae,Lepidoptera
Evergestis,Crambidae,Lepidoptera
Hymenia,Crambidae,Lepidoptera
Loxostege,Crambidae,Lepidoptera
Mecyna,Crambidae,Lepidoptera
Nacoleia,Crambidae,Lepidoptera
Neohelvibotys,Crambidae,Lepidoptera
Orocrambus,Crambidae,Lepidoptera
Palpita,Crambidae,Lepidoptera
Pareromene,Crambidae,Lepidoptera
Psara,Crambidae,Lepidoptera
Pyrausta,Crambidae,Lepidoptera
Scirpophaga,Crambidae,Lepidoptera
Scoparia,Crambidae,Lepidoptera
Scopariinae,Crambidae,Lepidoptera
Spoladea,Crambidae,Lepidoptera
Udea,Crambidae,Lepidoptera
Cryptochetidae,Cryptochetidae,Diptera
Antherophagus,Cryptophagidae,Coleoptera
Cryptophagus,Cryptophagidae,Coleoptera
Aedes,Culicidae,Diptera
Culex,Culicidae,Diptera
Culicidae,Culicidae,Diptera
Toxorhynchites,Culicidae,Diptera
Acalyptus,Curculionidae,Coleoptera
Anthonomus,Curculionidae,Coleoptera
Bagous,Curculionidae,Coleoptera
Baris,Curculionidae,Coleoptera
Centrinites,Curculionidae,Coleoptera
Centrinus,Curculionidae,Coleoptera
Ceuthorrhynchus,Curculionidae,Coleoptera
Ceutorrhynchus,Curculionidae,Coleoptera
Cossonus,Curculionidae,Coleoptera
Cratopus,Curculionidae,Coleoptera
Curculio,Curculionidae,Coleoptera
Curculionidae,Curculionidae,Coleoptera
Cyphicerus,Curculionidae,Coleoptera
Dasydema,Curculionidae,Coleoptera
Galapaganus,Curculionidae,Coleoptera
Gymnetron,Curculionidae,Coleoptera
Himatium,Curculionidae,Coleoptera
Hoplocneme,Curculionidae,Coleoptera
Hypera,Curculionidae,Coleoptera
Idiostethus,Curculionidae,Coleoptera
Limnobaris,Curculionidae,Coleoptera
Macrocorynus,Curculionidae,Coleoptera
Metialina,Curculionidae,Coleoptera
Miarus,Curculionidae,Coleoptera
Miccotrogus,Curculionidae,Coleoptera
Oreocalus,Curculionidae,Coleoptera
Peristoreus,Curculionidae,Coleoptera
Phyllobius,Curculionidae,Coleoptera
Phytobius,Curculionidae,Coleoptera
Rhinoncomimus,Curculionidae,Coleoptera
Rhinoncus,Curculionidae,Coleoptera
Rhodobaenus,Curculionidae,Coleoptera
Rhyncaenus,Curculionidae,Coleoptera
Sibinia,Curculionidae,Coleoptera
Sitona,Curculionidae,Coleoptera
Sitophilus,Curculionidae,Coleoptera
Strophosomus,Curculionidae,Coleoptera
Tychius,Curculionidae,Coleoptera
Xyleborus,Curculionidae,Coleoptera
Derelomini,Curculionidae,Coleoptera
Groatus,Curculionidae,Coleoptera
Madarini,Curculionidae,Coleoptera
Peloconusus,Curculionidae,Coleoptera
Eudiagogini,Curculionidae,Coleoptera
Geraeus,Curculionidae,Coleoptera
Nicentrus,Curculionidae,Coleoptera
Adomerus,Cydnidae,Hemiptera
Canthophorus,Cydnidae,Hemiptera
Anolis,Dactyloidae,Squamata
Matsumuraiella,Dasydemellidae,Psocoptera
Dasytidae,Dasytidae,Coleoptera
Nesosydne,Delphacidae,Hemiptera
Epotiocerus,Derbidae,Hemiptera
Rhotana,Derbidae,Hemiptera
Vekunta,Derbidae,Hemiptera
Anthrenus,Dermestidae,Coleoptera
Attagenus,Dermestidae,Coleoptera
Cryptorhopalum,Dermestidae,Coleoptera
Dermestes,Dermestidae,Coleoptera
Globicornis,Dermestidae,Coleoptera
Orphilus,Dermestidae,Coleoptera
Orphinus,Dermestidae,Coleoptera
Trogoderma,Dermestidae,Coleoptera
Dictyna,Dictynidae,Araneae
Dictyophara,Dictyopharidae,Hemiptera
Orthopagus,Dictyopharidae,Hemiptera
Amblypsilopus,Dolichopodidae,Diptera
Diostracus,Dolichopodidae,Diptera
Dolichopodidae,Dolichopodidae,Diptera
Dolichopus,Dolichopodidae,Diptera
Dotichopus,Dolichopodidae,Diptera
Hercostomus,Dolichopodidae,Diptera
Medetera,Dolichopodidae,Diptera
Poecilobothrus,Dolichopodidae,Diptera
Rhaphium,Dolichopodidae,Diptera
Sympycnus,Dolichopodidae,Diptera
Thrypticus,Dolichopodidae,Diptera
Colocasiomyia,Drosophilidae,Diptera
Drosophila,Drosophilidae,Diptera
Drosophilidae,Drosophilidae,Diptera
Scaptodrosophila,Drosophilidae,Diptera
Scaptomyza,Drosophilidae,Diptera
Zaprionus,Drosophilidae,Diptera
Ectobius,Ectobiidae,Blattodea
Episymploce,Ectobiidae,Blattodea
Onychostylus,Ectobiidae,Blattodea
Symploce,Ectobiidae,Blattodea
Acteniceromorphus,Elateridae,Coleoptera
Agiotes,Elateridae,Coleoptera
Agriotes,Elateridae,Coleoptera
Agrypnus,Elateridae,Coleoptera
Ampedus,Elateridae,Coleoptera
Anostinus,Elateridae,Coleoptera
Aplotarsus,Elateridae,Coleoptera
Athous,Elateridae,Coleoptera
Athousius,Elateridae,Coleoptera
Cardiophorus,Elateridae,Coleoptera
Dalopius,Elateridae,Coleoptera
Denticollis,Elateridae,Coleoptera
Ectinus,Elateridae,Coleoptera
Gambrinus,Elateridae,Coleoptera
Gamepenthes,Elateridae,Coleoptera
Ganoxanthus,Elateridae,Coleoptera
Hayekpenthes,Elateridae,Coleoptera
Limonius,Elateridae,Coleoptera
Melanotus,Elateridae,Coleoptera
Penthelater,Elateridae,Coleoptera
Prosternon,Elateridae,Coleoptera
Quasimus,Elateridae,Coleoptera
Seracosomus,Elateridae,Coleoptera
Vuilletus,Elateridae,Coleoptera
Aclonempis,Empididae,Diptera
Brachystoma,Empididae,Diptera
Empididae,Empididae,Diptera
Empis,Empididae,Diptera
Hilara,Empididae,Diptera
Holoclera,Empididae,Diptera
Pachymeria,Empididae,Diptera
Ramphomyia,Empididae,Diptera
Rhamphomyia,Empididae,Diptera
rhamphomyia,Empididae,Diptera
Anthemus,Encyrtidae,Hymenoptera
Encyrtidae,Encyrtidae,Hymenoptera
Entomobrya,Entomobryidae,Entomobryomorpha
Ephemerella,Ephemerellidae,Ephemeroptera
Discocerina,Ephydridae,Diptera
Hyadina,Ephydridae,Diptera
Hydrellia,Ephydridae,Diptera
Mosillus,Ephydridae,Diptera
Notiphila,Ephydridae,Diptera
Ochtera,Ephydridae,Diptera
Ochthera,Ephydridae,Diptera
Psilopa,Ephydridae,Diptera
Ephydridae,Ephydridae,Diptera
Psychostrophia,Epicopeiidae,Lepidoptera
Aganais,Erebidae,Lepidoptera
Anomis,Erebidae,Lepidoptera
Callimorpha,Erebidae,Lepidoptera
Ctenucha,Erebidae,Lepidoptera
Dysauxes,Erebidae,Lepidoptera
Eilema,Erebidae,Lepidoptera
Gnophaela,Erebidae,Lepidoptera
Hydrillodes,Erebidae,Lepidoptera
Hypena,Erebidae,Lepidoptera
Hypercompe,Erebidae,Lepidoptera
Laria,Erebidae,Lepidoptera
Nyctemera,Erebidae,Lepidoptera
Ommatochila,Erebidae,Lepidoptera
Pechipogo,Erebidae,Lepidoptera
Phalaenophana,Erebidae,Lepidoptera
Remigia,Erebidae,Lepidoptera
Utetheisa,Erebidae,Lepidoptera
Cecidophyes,Eriophyidae,Trombidiformes
Anadastus,Erotylidae,Coleoptera
Cryptophilus,Erotylidae,Coleoptera
Kapala,Eucharitidae,Hymenoptera
Psilodora,Eucoilidae,Hymenoptera
Aprostocetus,Eulophidae,Hymenoptera
Chrysocharis,Eulophidae,Hymenoptera
Diglyphus,Eulophidae,Hymenoptera
Elasmus,Eulophidae,Hymenoptera
Euderus,Eulophidae,Hymenoptera
Eulophidae,Eulophidae,Hymenoptera
Minotetrastichus,Eulophidae,Hymenoptera
Tetrastichinae,Eulophidae,Hymenoptera
Antherhynchium,Eumenidae,Hymenoptera
Okinawepipona,Eumenidae,Hymenoptera
Oracistrocerus,Eumenidae,Hymenoptera
Poletes,Eumenidae,Hymenoptera
Zendalia,Eumenidae,Hymenoptera
Eupelmus,Eupelmidae,Hymenoptera
Bruchophagus,Eurytomidae,Hymenoptera
Eurytoma,Eurytomidae,Hymenoptera
Tetramesa,Eurytomidae,Hymenoptera
Hyptia,Evaniidae,Hymenoptera
Fannia,Fanniidae,Diptera
Homalomyia,Fanniidae,Diptera
Fanniidae,Fanniidae,Diptera
Aspicera,Figitidae,Hymenoptera
Cothonaspis,Figitidae,Hymenoptera
Eucoila,Figitidae,Hymenoptera
Figites,Figitidae,Hymenoptera
Trirhoptrasema,Figitidae,Hymenoptera
Xyalosema,Figitidae,Hymenoptera
Geisha,Flatidae,Hemiptera
Anechura,Forficulidae,Dermaptera
Forficula,Forficulidae,Dermaptera
Forficulidae,Forficulidae,Dermaptera
Anoplolepis,Formicidae,Hymenoptera
Brachymyrmex,Formicidae,Hymenoptera
Camponotus,Formicidae,Hymenoptera
Cardiocondyla,Formicidae,Hymenoptera
Cataglyphis,Formicidae,Hymenoptera
Chelaner,Formicidae,Hymenoptera
Cremastogaster,Formicidae,Hymenoptera
Crematogaster,Formicidae,Hymenoptera
Dorymyrmex,Formicidae,Hymenoptera
Formica,Formicidae,Hymenoptera
Formicidae,Formicidae,Hymenoptera
Iridomyrmex,Formicidae,Hymenoptera
Lasius,Formicidae,Hymenoptera
Monomorium,Formicidae,Hymenoptera
Myrmica,Formicidae,Hymenoptera
Nylanderia,Formicidae,Hymenoptera
Ochetellus,Formicidae,Hymenoptera
Ochetelus,Formicidae,Hymenoptera
Paratrechina,Formicidae,Hymenoptera
Pheidole,Formicidae,Hymenoptera
Plagiolepis,Formicidae,Hymenoptera
Plagiolepsis,Formicidae,Hymenoptera
Pristomyrmex,Formicidae,Hymenoptera
Smoragdina,Formicidae,Hymenoptera
Solenopsis,Formicidae,Hymenoptera
Tapinoma,Formicidae,Hymenoptera
Technomyrmex,Formicidae,Hymenoptera
Tetramonium,Formicidae,Hymenoptera
Tetramorium,Formicidae,Hymenoptera
Themnothorax,Formicidae,Hymenoptera
Wasmannia,Formicidae,Hymenoptera
Zeraea,Formicidae,Hymenoptera
Acromyrmex,Formicidae,Hymenoptera
Forelius,Formicidae,Hymenoptera
Pseudomyrmex,Formicidae,Hymenoptera
Dolichoderus,Formicidae,Hymenoptera
Cephalotes,Formicidae,Hymenoptera
Carduelis,Fringillidae,Passeriformes
Serinus,Fringillidae,Passeriformes
Foenus,Gasteruptiidae,Hymenoptera
Gasteruption,Gasteruptiidae,Hymenoptera
Pseudofoenus,Gasteruptiidae,Hymenoptera
Phelsuma,Gekkonidae,Squamata
Chionodes,Gelechiidae,Lepidoptera
Gelechia,Gelechiidae,Lepidoptera
GELECHIIDAE,Gelechiidae,Lepidoptera
Gelechiidae,Gelechiidae,Lepidoptera
Gelechioidea,Gelechiidae,Lepidoptera
Piocoris,Geocoridae,Hemiptera
Alcis,Geometridae,Lepidoptera
Asaphodes,Geometridae,Lepidoptera
Austrocidaria,Geometridae,Lepidoptera
Cidaria,Geometridae,Lepidoptera
Cleora,Geometridae,Lepidoptera
Cyclophora,Geometridae,Lepidoptera
Dasyuris,Geometridae,Lepidoptera
Declana,Geometridae,Lepidoptera
Disclisioprocta,Geometridae,Lepidoptera
Entephria,Geometridae,Lepidoptera
Ephiphyrne,Geometridae,Lepidoptera
Epiphryne,Geometridae,Lepidoptera
Epirrhoetristata,Geometridae,Lepidoptera
Euctenurapteryx,Geometridae,Lepidoptera
Eucymatoge,Geometridae,Lepidoptera
Eulype,Geometridae,Lepidoptera
Eupithesia,Geometridae,Lepidoptera
Geometridae,Geometridae,Lepidoptera
Helastia,Geometridae,Lepidoptera
Homodotis,Geometridae,Lepidoptera
Hydriomena,Geometridae,Lepidoptera
Hylaea,Geometridae,Lepidoptera
Ischalis,Geometridae,Lepidoptera
Mesotype,Geometridae,Lepidoptera
Notoreas,Geometridae,Lepidoptera
Ourapterix,Geometridae,Lepidoptera
Pasiphila,Geometridae,Lepidoptera
Perizoma,Geometridae,Lepidoptera
Pseudocoremia,Geometridae,Lepidoptera
Pseudopanthera,Geometridae,Lepidoptera
Psodos,Geometridae,Lepidoptera
Rhodometra,Geometridae,Lepidoptera
Sestra,Geometridae,Lepidoptera
Xanthorhoe,Geometridae,Lepidoptera
Amphicoma,Glaphyridae,Coleoptera
Glyphipterix,Glyphipterigidae,Lepidoptera
Gnaphosidae,Gnaphosidae,Araneae
Caloptilia,Gracillariidae,Lepidoptera
Diphtheroptila,Gracillariidae,Lepidoptera
Gracillariidae,Gracillariidae,Lepidoptera
Eutrichosiphum,Greenideidae,Hemiptera
Gryllacrididae,Gryllacrididae,Orthoptera
Cricket,Gryllidae,Orthoptera
Gryllidae,Gryllidae,Orthoptera
Pteronemobius,Gryllidae,Orthoptera
Agapostemon,Halictidae,Hymenoptera
Augochlora,Halictidae,Hymenoptera
Augochlorella,Halictidae,Hymenoptera
Augochlorensis,Halictidae,Hymenoptera
Augochloropsis,Halictidae,Hymenoptera
Augochorella,Halictidae,Hymenoptera
Auhochloropsis,Halictidae,Hymenoptera
Caenohalictus,Halictidae,Hymenoptera
Chloralictus,Halictidae,Hymenoptera
Corynura,Halictidae,Hymenoptera
Corynurus,Halictidae,Hymenoptera
Curtisapis,Halictidae,Hymenoptera
Dialictus,Halictidae,Hymenoptera
Drepanium,Halictidae,Hymenoptera
Dufourea,Halictidae,Hymenoptera
Erylaeus,Halictidae,Hymenoptera
Evylaeus,Halictidae,Hymenoptera
Halictid,Halictidae,Hymenoptera
halictidae,Halictidae,Hymenoptera
Halictidae,Halictidae,Hymenoptera
Halictus,Halictidae,Hymenoptera
halictus,Halictidae,Hymenoptera
Halyctus,Halictidae,Hymenoptera
Lasio,Halictidae,Hymenoptera
Lasiogfossum,Halictidae,Hymenoptera
Lasiogiossum,Halictidae,Hymenoptera
Lasioglossum,Halictidae,Hymenoptera
lasioglossum,Halictidae,Hymenoptera
Lasiogtossum,Halictidae,Hymenoptera
Lassioglossum,Halictidae,Hymenoptera
Machaeris,Halictidae,Hymenoptera
Nomia,Halictidae,Hymenoptera
Nomioides,Halictidae,Hymenoptera
Odontalictus,Halictidae,Hymenoptera
Paralictus,Halictidae,Hymenoptera
Paranomia,Halictidae,Hymenoptera
Pereirapis,Halictidae,Hymenoptera
Pseudapis,Halictidae,Hymenoptera
Rophites,Halictidae,Hymenoptera
Ruizantheda,Halictidae,Hymenoptera
Sphecodes,Halictidae,Hymenoptera
sphecodes,Halictidae,Hymenoptera
Sphecodium,Halictidae,Hymenoptera
Systropha,Halictidae,Hymenoptera
Vestitohalictus,Halictidae,Hymenoptera
Pseudagapostemon,Halictidae,Hymenoptera
Ceratalictus,Halictidae,Hymenoptera
Rhinocorynura,Halictidae,Hymenoptera
Thectochlora,Halictidae,Hymenoptera
Auglocloropsis,Halictidae,Hymenoptera
Augloclorella,Halictidae,Hymenoptera
Augloclora,Halictidae,Hymenoptera
Neoleria,Heleomyzidae,Diptera
Tapeigaster,Heleomyzidae,Diptera
Trixoscelis,Heleomyzidae,Diptera
Dione,Heliconidae,Lepidoptera
Aetole,Heliodinidae,Lepidoptera
Heliodines,Heliodinidae,Lepidoptera
Helorus,Heloridae,Hymenoptera
Eumicromus,Hemerobiidae,Neuroptera
Achalarus,Hesperiidae,Lepidoptera
Aguna,Hesperiidae,Lepidoptera
Amblyscirtes,Hesperiidae,Lepidoptera
Ancyloxypha,Hesperiidae,Lepidoptera
Atrytone,Hesperiidae,Lepidoptera
Borbo,Hesperiidae,Lepidoptera
Carcharodus,Hesperiidae,Lepidoptera
Carterocephalus,Hesperiidae,Lepidoptera
Choaspes,Hesperiidae,Lepidoptera
Cogia,Hesperiidae,Lepidoptera
Daimio,Hesperiidae,Lepidoptera
Eagris,Hesperiidae,Lepidoptera
Erynnis,Hesperiidae,Lepidoptera
Euphyes,Hesperiidae,Lepidoptera
Eupyses,Hesperiidae,Lepidoptera
Gegenes,Hesperiidae,Lepidoptera
Heliopetes,Hesperiidae,Lepidoptera
Hesperia,Hesperiidae,Lepidoptera
Hesperiidae,Hesperiidae,Lepidoptera
Hylephila,Hesperiidae,Lepidoptera
Limochores,Hesperiidae,Lepidoptera
Ochlodes,Hesperiidae,Lepidoptera
ochlodes,Hesperiidae,Lepidoptera
Ocholodes,Hesperiidae,Lepidoptera
Pamphila,Hesperiidae,Lepidoptera
Panoquina,Hesperiidae,Lepidoptera
Parnara,Hesperiidae,Lepidoptera
Pelopidas,Hesperiidae,Lepidoptera
Pelopides,Hesperiidae,Lepidoptera
Pholisora,Hesperiidae,Lepidoptera
Poanes,Hesperiidae,Lepidoptera
Polygonus,Hesperiidae,Lepidoptera
Polytremis,Hesperiidae,Lepidoptera
Pompeius,Hesperiidae,Lepidoptera
Pyrgus,Hesperiidae,Lepidoptera
Thanaos,Hesperiidae,Lepidoptera
Thoressa,Hesperiidae,Lepidoptera
Thorybes,Hesperiidae,Lepidoptera
Thymelicus,Hesperiidae,Lepidoptera
Urbanus,Hesperiidae,Lepidoptera
Urbicola,Hesperiidae,Lepidoptera
Vehilius,Hesperiidae,Lepidoptera
Chioides,Hesperiidae,Lepidoptera
Hesperiinae,Hesperiidae,Lepidoptera
Pyrginae,Hesperiidae,Lepidoptera
Hister,Histeridae,Coleoptera
Bicellaria,Hybotidae,Diptera
Euhibus,Hybotidae,Diptera
Euthyneura,Hybotidae,Diptera
Hybos,Hybotidae,Diptera
Platypalpus,Hybotidae,Diptera
Tachydromia,Hybotidae,Diptera
Hydrometra,Hydrometridae,Hemiptera
Rygmodus,Hydrophilidae,Coleoptera
Hydropsychoides,Hydropsychidae,Trichoptera
Aclastus,Ichneumonidae,Hymenoptera
Agrothereutes,Ichneumonidae,Hymenoptera
Amblyteles,Ichneumonidae,Hymenoptera
Ammobia,Ichneumonidae,Hymenoptera
Atractodes,Ichneumonidae,Hymenoptera
Barycnemis,Ichneumonidae,Hymenoptera
Bathycetes,Ichneumonidae,Hymenoptera
Campopleginae,Ichneumonidae,Hymenoptera
Clypeocampulum,Ichneumonidae,Hymenoptera
Cremastus,Ichneumonidae,Hymenoptera
Cryptinae,Ichneumonidae,Hymenoptera
Cryptus,Ichneumonidae,Hymenoptera
Diaplazon,Ichneumonidae,Hymenoptera
Diphyrus,Ichneumonidae,Hymenoptera
Exetastes,Ichneumonidae,Hymenoptera
Gambrus,Ichneumonidae,Hymenoptera
Glypta,Ichneumonidae,Hymenoptera
Hemiteles,Ichneumonidae,Hymenoptera
Hoplismenus,Ichneumonidae,Hymenoptera
Hyposoter,Ichneumonidae,Hymenoptera
Icheumonidae,Ichneumonidae,Hymenoptera
Ichneumon,Ichneumonidae,Hymenoptera
Ichneumonidae,Ichneumonidae,Hymenoptera
Lampronota,Ichneumonidae,Hymenoptera
Mesochorus,Ichneumonidae,Hymenoptera
Metopius,Ichneumonidae,Hymenoptera
Odinophora,Ichneumonidae,Hymenoptera
Ophion,Ichneumonidae,Hymenoptera
Ophyon,Ichneumonidae,Hymenoptera
Oresbius,Ichneumonidae,Hymenoptera
Orthocentrinae,Ichneumonidae,Hymenoptera
Oxytorus,Ichneumonidae,Hymenoptera
Phygadeuon,Ichneumonidae,Hymenoptera
Pimpla,Ichneumonidae,Hymenoptera
Polyblastus,Ichneumonidae,Hymenoptera
Polysphincta,Ichneumonidae,Hymenoptera
Porizon,Ichneumonidae,Hymenoptera
Porizontini,Ichneumonidae,Hymenoptera
Proclitus,Ichneumonidae,Hymenoptera
Protichneumon,Ichneumonidae,Hymenoptera
Saotis,Ichneumonidae,Hymenoptera
Stenomacrus,Ichneumonidae,Hymenoptera
Tricholinum,Ichneumonidae,Hymenoptera
Trogus,Ichneumonidae,Hymenoptera
Tryphon,Ichneumonidae,Hymenoptera
Nesopsar,Icteridae,Passeriformes
Microlophus,Iguanidae,Squamata
Chloropsis,Irenidae,Passeriformes
Isotoma,Isotomidae,Collembola
Brachypterus,Kateretidae,Coleoptera
Cateres,Kateretidae,Coleoptera
Cateretes,Kateretidae,Coleoptera
Gallotia,Lacertidae,Squamata
Lachesilla,Lachesillidae,Psocoptera
Lathropus,Laemophloeidae,Coleoptera
Ellychnia,Lampyridae,Coleoptera
Hotaria,Lampyridae,Coleoptera
Lucidina,Lampyridae,Coleoptera
Photinus,Lampyridae,Coleoptera
Pyractomena,Lampyridae,Coleoptera
Telephorus,Lampyridae,Coleoptera
Largus,Largidae,Hemiptera
Symphyta,Lasiocampidae,Lepidoptera
Corticaria,Latridiidae,Coleoptera
Corticarina,Latridiidae,Coleoptera
Dienerella,Latridiidae,Coleoptera
Enicmus,Latridiidae,Coleoptera
Melanophthalma,Latridiidae,Coleoptera
Calliopum,Lauxaniidae,Diptera
Homoneura,Lauxaniidae,Diptera
Incurviseta,Lauxaniidae,Diptera
Lauxania,Lauxaniidae,Diptera
Lauxaniidae,Lauxaniidae,Diptera
Pachycerina,Lauxaniidae,Diptera
Poecilohetaerus,Lauxaniidae,Diptera
Sapromyza,Lauxaniidae,Diptera
Lecithoceridae,Lecithoceridae,Lepidoptera
Loxomorpha,Lecudinidae,Eugregarinorida
Sympetrum,Libellulidae,Odonata
Limnophilus,Limnephilidae,Trichoptera
Geranomyia,Limoniidae,Diptera
Phyllolabis,Limoniidae,Diptera
Stragamia,Linotaeniidae,Geophilomorpha
Erigone,Linyphiidae,Araneae
Lonchaea,Lonchaeidae,Diptera
Lonchoptera,Lonchopteridae,Diptera
Agriades,Lycaenidae,Lepidoptera
Allosmaitia,Lycaenidae,Lepidoptera
Andinus,Lycaenidae,Lepidoptera
Aricia,Lycaenidae,Lepidoptera
Calicopis,Lycaenidae,Lepidoptera
Callophrys,Lycaenidae,Lepidoptera
callophrys,Lycaenidae,Lepidoptera
Celastrina,Lycaenidae,Lepidoptera
Chrysophanus,Lycaenidae,Lepidoptera
Cupido,Lycaenidae,Lepidoptera
Cyclyrius,Lycaenidae,Lepidoptera
Electrostrymon,Lycaenidae,Lepidoptera
Eupsyche,Lycaenidae,Lepidoptera
Everes,Lycaenidae,Lepidoptera
Freyeria,Lycaenidae,Lepidoptera
Glaucopsyche,Lycaenidae,Lepidoptera
glaucopsyche,Lycaenidae,Lepidoptera
Hemiargus,Lycaenidae,Lepidoptera
Heodes,Lycaenidae,Lepidoptera
Japonica,Lycaenidae,Lepidoptera
Laeosopis,Lycaenidae,Lepidoptera
Lampides,Lycaenidae,Lepidoptera
Leptotes,Lycaenidae,Lepidoptera
Lycaena,Lycaenidae,Lepidoptera
lycaena,Lycaenidae,Lepidoptera
Lycaenidae,Lycaenidae,Lepidoptera
Lycaenopsis,Lycaenidae,Lepidoptera
Maculinea,Lycaenidae,Lepidoptera
Nacaduba,Lycaenidae,Lepidoptera
Nordmannia,Lycaenidae,Lepidoptera
Plebeius,Lycaenidae,Lepidoptera
Plebejus,Lycaenidae,Lepidoptera
Polyommatus,Lycaenidae,Lepidoptera
Polyomnmatus,Lycaenidae,Lepidoptera
Pseudolucia,Lycaenidae,Lepidoptera
Pseudophilotes,Lycaenidae,Lepidoptera
Rapala,Lycaenidae,Lepidoptera
Satyrium,Lycaenidae,Lepidoptera
Strymon,Lycaenidae,Lepidoptera
Strymonidia,Lycaenidae,Lepidoptera
Syntarucus,Lycaenidae,Lepidoptera
Thecla,Lycaenidae,Lepidoptera
Uranotes,Lycaenidae,Lepidoptera
Zizeeria,Lycaenidae,Lepidoptera
Zizina,Lycaenidae,Lepidoptera
Ministrymon,Lycaenidae,Lepidoptera
Chlorostrymon,Lycaenidae,Lepidoptera
Calopteron,Lycidae,Coleoptera
Cautires,Lycidae,Coleoptera
Plateros,Lycidae,Coleoptera
Pardosa,Lycosidae,Araneae
Lygaeidae,Lygaeidae,Coleoptera
