"","db","query","family","order","Genus"
"2149","ncbi","261",NA,NA,"Blepharipus"
"2152","ncbi","370",NA,NA,"Centrias"
"2154","ncbi","822",NA,NA,"Euryceromyia"
"2155","ncbi","908",NA,NA,"Gnathosmia"
"2157","ncbi","1163",NA,NA,"Lina"
"2160","ncbi","1613",NA,NA,"Perditella"
"2162","ncbi","1794",NA,NA,"Pseudocrabro"
"2163","ncbi","1825",NA,NA,"Pterochilus"
"2166","ncbi","1951",NA,NA,"Seymnus"
"2169","ncbi","244",NA,NA,"Belpharipeza"
"2172","ncbi","387",NA,NA,"Ceratomyiella"
"2174","ncbi","490",NA,NA,"Clytochrysus"
"2175","ncbi","528",NA,NA,"Corphyra"
"2176","ncbi","711",NA,NA,"Emphoropsis"
"2180","ncbi","841",NA,NA,"Euvanessa"
"2181","ncbi","1008",NA,NA,"Homalomyia"
"2183","ncbi","1217",NA,NA,"Macrodyctium"
"2184","ncbi","1277",NA,NA,"Mellota"
"2187","ncbi","1521",NA,NA,"Pachybrachys"
"2188","ncbi","1639",NA,NA,"Phasioclista"
"2193","ncbi","2182",NA,NA,"Verbenapis"
"2194","ncbi","2216",NA,NA,"Xyalosema"
"2200","ncbi","239",NA,NA,"Bathycetes"
"2202","ncbi","335",NA,NA,"Camptoneura"
"2205","ncbi","407",NA,NA,"Chaetophleps"
"2206","ncbi","444",NA,NA,"Chloerocampa"
"2208","ncbi","629",NA,NA,"Dialonia"
"2210","ncbi","631",NA,NA,"Diaplazon"
"2211","ncbi","755",NA,NA,"Epysiron"
"2217","ncbi","941",NA,NA,"Halictoides"
"2218","ncbi","944",NA,NA,"Hallictoides"
"2219","ncbi","1001",NA,NA,"Hippodamea"
"2220","ncbi","1052",NA,NA,"Hypocrabro"
"2221","ncbi","1065",NA,NA,"Idiolespa"
"2222","ncbi","1180",NA,NA,"Lobioptera"
"2226","ncbi","1335",NA,NA,"Monilosmia"
"2227","ncbi","1337",NA,"Pavlovales","Monochrysis"
"2229","ncbi","1395",NA,NA,"Neofischeria"
"2231","ncbi","1579",NA,NA,"Parempis"
"2235","ncbi","1750",NA,NA,"Proboscimyia"
"2236","ncbi","1813",NA,NA,"Psilodora"
"2238","ncbi","1898",NA,NA,"Sarogaster"
"2240","ncbi","1940",NA,NA,"Seoptera"
"2241","ncbi","1954",NA,NA,"Silaon"
"2247","ncbi","2198",NA,NA,"Xanthidia"
