Network,PFamily,Plant,PolOrder,PolFamily,Pollinator,Int
MED3CA,Labiada,Rosmarinus officinalis,Hymenoptera,Apoidea,Apis melifera,2
MED3CA,Cistacea,Cistus monspeliensis,Hymenoptera,Andrenidae,Andrena,1
MED3CA,Papilionacea,Dorichnium pentaphylum,Hymenoptera,Colletidae,Colletes,3
MIQ1OP,Asteracea,Sonchus tenerrinus,Hymenoptera,Andrenidae,Andrena,1
MED3CA,Cistacea,Cistus monspeliensis,Hymenoptera,Halictidae,Lasioglossum,1
MED3CA,Labiada,Lavandula stoechas,Diptera,Bumbilidae,Conophorus virescens,1
MED3CA,Cistacea,Cistus albidus,Coleoptera,Oedemeridae,Oedemera lurida,1
MED3CA,Cistacea,Cistus albidus,Coleoptera,Scarabaeidae,Oxythyrea funesta,1
MED3CA,Cistacea,Cistus albidus,Coleoptera,Dasytidae,Psilothrix,1
MIQ1OP,Asteracea,Sonchus tenerrinus,Hymenoptera,Apoidea,Apis melifera,2
MED3CA,Cistacea,Cistus albidus,Hymenoptera,Andrenidae,Andrena,2
MIQ1OP,Asteracea,Urospermum picrioides,Coleoptera,Maloidea,Myrabilis quadripunctata,1
MIQ1OP,Asteracea,Sonchus tenerrinus,Coleoptera,Oedemeridae,Oedemera barbara,3
MED3CA,Cistacea,Cistus albidus,Hymenoptera,Megachilidae,Osmia,2
MIQ1OP,Asteracea,Sonchus tenerrinus,Hymenoptera,Andrenidae,Andrena,1
MED3CA,Cistacea,Cistus albidus,Hymenoptera,Andrenidae,Andrena,2
MED3CA,Cistacea,Cistus monspeliensis,Hymenoptera,Megachilidae,Anthidium sticticum,1
MIQ1OP,Asteracea,Sonchus tenerrinus,Coleoptera,Maloidea,Myrabilis quadripunctata,1
MED3CA,Labiada,Lavandula stoechas,Diptera,Bumbilidae,Conophorus virescens,1
MED3CA,Cistacea,Cistus monspeliensis,Coleoptera,Oedemeridae,Oedemera lurida,5
MIQ2OP,Asteracea,Sonchus tenerrinus,Hymenoptera,Apoidea,Apis melifera,2
MED3CA,Cistacea,Cistus monspeliensis,Coleoptera,Scarabaeidae,Oxythyrea funesta,1
MED3CA,Cistacea,Cistus salvifolius,Coleoptera,Scarabaeidae,Oxythyrea funesta,2
MIQ2OP,Asteracea,Sonchus tenerrinus,Hymenoptera,Andrenidae,Andrena,1
MED3CA,Cistacea,Cistus monspeliensis,Coleoptera,Mordelidae,Mordellistena pumila,1
MED3CA,Cistacea,Cistus monspeliensis,Hymenoptera,Halictidae,Lasioglossum,3
MED3CA,Cistacea,Cistus monspeliensis,Diptera,Bumbilidae,Bombyliidae,1
MIQ2OP,Asteracea,Sonchus tenerrinus,Hymenoptera,Megachilidae,Megachilidae,2
MIQ2OP,Asteracea,Urospermum picrioides,Hymenoptera,Andrenidae,Andrena,1
MED3CA,Cistacea,Cistus monspeliensis,Coleoptera,Coleotera1,Coleoptera,1
MED3CA,Cistacea,Cistus monspeliensis,Diptera,Sirphidae,Sphaerophoeria,2
MIQ2OP,Asteracea,Sonchus tenerrinus,Hymenoptera,Andrenidae,Andrena,1
MED3CA,Cistacea,Cistus monspeliensis,Hymenoptera,Andrenidae,Andrena,1
MIQ2OP,Asteracea,Sonchus tenerrinus,Coleoptera,Scarabaeidae,Oxythyrea funesta,1
SEL1OP,Asteracea,Helichrisum stoechas,Coleoptera,Dasytidae,Dasytidae,2
MED3CA,Cistacea,Cistus monspeliensis,Hymenoptera,Halictidae,Lasioglossum,1
MED3CA,Cistacea,Cistus monspeliensis,Hymenoptera,Colletidae,Hylaeus variegatus,1
MED3CA,Papilionacea,Psoralea bituminosa,Diptera,Bumbilidae,Conophorus virescens,1
MED3CA,Cistacea,Cistus albidus,Coleoptera,Oedemeridae,Oedemera lurida,1
MED3CA,Cistacea,Cistus monspeliensis,Coleoptera,Oedemeridae,Oedemera lurida,1
SEL1OP,Asteracea,Helichrisum stoechas,Coleoptera,Dasytidae,Dasytidae,1
SEL1OP,Asteracea,Sonchus tenerrinus,Hymenoptera,Andrenidae,Andrena,1
MED3CA,Cistacea,Cistus monspeliensis,Coleoptera,Mordelidae,Mordellistena pumila,1
SEL2OP,Asteracea,Sonchus tenerrinus,Coleoptera,Maloidea,Myrabilis quadripunctata,1
MED3CA,Labiada,Lavandula stoechas,Diptera,Bumbilidae,Bombyliidae,1
FRA2OP,Cactacea,Opuntia stricta,Hymenoptera,Apoidea,Apis melifera,3
MED3CA,Cistacea,Cistus monspeliensis,Hymenoptera,Megachilidae,Anthidium sticticum,1
FRA2OP,Cactacea,Opuntia stricta,Hymenoptera,Scolidae,Scolia,1
MED3CA,Cistacea,Cistus monspeliensis,Coleoptera,Oedemeridae,Oedemera lurida,3
FRA2OP,Cactacea,Opuntia stricta,Hymenoptera,Megachilidae,Anthidium,1
MED3CA,Cistacea,Cistus monspeliensis,Coleoptera,Mordelidae,Mordellistena pumila,1
FRA2OP,Cactacea,Opuntia stricta,Hymenoptera,Formicidae,Camponotus aetiops,2
FRA2OP,Cactacea,Opuntia stricta,Hymenoptera,Megachilidae,Anthidium sticticum,1
FRA2OP,Cactacea,Opuntia stricta,Hymenoptera,Apoidea,Apis melifera,7
FRA2OP,Cactacea,Opuntia stricta,Hymenoptera,Halictidae,Halictus pyrenaicus,1
MED4CA,Labiada,Rosmarinus officinalis,Lepidoptera,Lycaneidae,Callophrys rubi,1
MED4CA,Cistacea,Cistus albidus,Hymenoptera,Andrenidae,Andrena,2
MED4CA,Cistacea,Cistus salvifolius,Hymenoptera,Andrenidae,Andrena,1
FRA2OP,Cactacea,Opuntia stricta,Hymenoptera,Apoidea,Bombus terrestris,2
MED4CA,Cistacea,Cistus albidus,Coleoptera,Coleoptera2,Coleoptera,1
MED4CA,Aizoacea,Carpobrotus spp. acinaciformis,Hymenoptera,Megachilidae,Anthidium sticticum,1
MED4CA,Cistacea,Cistus albidus,Hymenoptera,Megachilidae,Anthidium sticticum,1
MED4CA,Labiada,Lavandula stoechas,Hymenoptera,Megachilidae,Anthidium sticticum,1
MED4CA,Cistacea,Cistus salvifolius,Hymenoptera,Apoidea,Apis melifera,1
MED4CA,Labiada,Rosmarinus officinalis,Hymenoptera,Apoidea,Apis melifera,1
MED4CA,Labiada,Lavandula stoechas,Diptera,Bumbilidae,Conophorus virescens,1
FRA2OP,Cactacea,Opuntia stricta,Coleoptera,Scarabaeidae,Oxythyrea funesta,1
MED4CA,Aizoacea,Carpobrotus spp. acinaciformis,Coleoptera,Scarabaeidae,Oxythyrea funesta,1
MED4CA,Cistacea,Cistus albidus,Coleoptera,Scarabaeidae,Oxythyrea funesta,1
MED4CA,Cistacea,Cistus salvifolius,Coleoptera,Scarabaeidae,Oxythyrea funesta,1
MED4CA,Aizoacea,Carpobrotus spp. acinaciformis,Coleoptera,Dasytidae,Psilothrix,1
MED4CA,Cistacea,Cistus salvifolius,Coleoptera,Dasytidae,Psilothrix,2
MED4CA,Aizoacea,Carpobrotus spp. acinaciformis,Coleoptera,Chrysomelidae,Criptocephalus,3
FRA2OP,Cactacea,Opuntia stricta,Hymenoptera,Apoidea,Apis melifera,5
MED4CA,Aizoacea,Carpobrotus spp. acinaciformis,Coleoptera,Mordelidae,Mordellistena pumila,2
FRA2OP,Cactacea,Opuntia stricta,Hymenoptera,Halictidae,Halictus pyrenaicus,1
MED4CA,Cistacea,Cistus salvifolius,Hymenoptera,Andrenidae,Andrena,2
MED4CA,Cistacea,Cistus salvifolius,Hymenoptera,Andrenidae,Andrena,1
MED4CA,Papilionacea,Dorichnium pentaphylum,Coleoptera,Coleoptera2,Coleoptera,1
MED4CA,Aizoacea,Carpobrotus spp. acinaciformis,Hymenoptera,Apoidea,Apis melifera,2
MED4CA,Cistacea,Cistus albidus,Hymenoptera,Apoidea,Apis melifera,2
MED4CA,Labiada,Lavandula stoechas,Hymenoptera,Apoidea,Apis melifera,3
MED4CA,Papilionacea,Dorichnium pentaphylum,Hymenoptera,Colletidae,Colletes,1
MED4CA,Cistacea,Cistus salvifolius,Hymenoptera,Formicidae,Plagiolepsis pigmaea,1
MED4CA,Aizoacea,Carpobrotus spp. acinaciformis,Hymenoptera,Apoidea,Bombus terrestris,2
MED4CA,Aizoacea,Carpobrotus spp. acinaciformis,Coleoptera,Scarabaeidae,Oxythyrea funesta,1
MED4CA,Cistacea,Cistus monspeliensis,Coleoptera,Scarabaeidae,Oxythyrea funesta,2
MED4CA,Cistacea,Cistus salvifolius,Coleoptera,Scarabaeidae,Oxythyrea funesta,1
MED4CA,Cistacea,Cistus salvifolius,Coleoptera,Dasytidae,Dasytidae,1
MED4CA,Aizoacea,Carpobrotus spp. acinaciformis,Coleoptera,Dasytidae,Psilothrix,1
MED4CA,Cistacea,Cistus salvifolius,Coleoptera,Dasytidae,Psilothrix,1
MED4CA,Cistacea,Cistus monspeliensis,Hymenoptera,Andrenidae,Andrena,1
MED4CA,Cistacea,Cistus salvifolius,Hymenoptera,Andrenidae,Andrena,1
MED4CA,Cistacea,Cistus albidus,Hymenoptera,Andrenidae,Andrena,1
MED4CA,Aizoacea,Carpobrotus spp. acinaciformis,Coleoptera,Coleotera1,Coleoptera,2
MED4CA,Cistacea,Cistus salvifolius,Coleoptera,Coleotera1,Coleoptera,1
MED4CA,Cistacea,Cistus monspeliensis,Hymenoptera,Halictidae,Halictus pyrenaicus,1
FRA2OP,Cactacea,Opuntia stricta,Hymenoptera,Apoidea,Bombus terrestris,2
MED4CA,Aizoacea,Carpobrotus spp. acinaciformis,Hymenoptera,Apoidea,Bombus terrestris,1
MED4CA,Aizoacea,Carpobrotus spp. acinaciformis,Coleoptera,Oedemeridae,Oedemera nobilis,1
MED4CA,Cistacea,Cistus albidus,Coleoptera,Oedemeridae,Oedemera nobilis,2
MED4CA,Cistacea,Cistus salvifolius,Coleoptera,Oedemeridae,Oedemera nobilis,1
FRA2OP,Cactacea,Opuntia stricta,Coleoptera,Scarabaeidae,Oxythyrea funesta,1
FRA2OP,Cactacea,Opuntia stricta,Coleoptera,Dasytidae,Dasytidae,2
MED4CA,Aizoacea,Carpobrotus spp. acinaciformis,Coleoptera,Oedemeridae,Oedemera lurida,6
MED4CA,Cistacea,Cistus albidus,Coleoptera,Oedemeridae,Oedemera lurida,1
MED4CA,Cistacea,Cistus salvifolius,Coleoptera,Oedemeridae,Oedemera lurida,2
MED4CA,Cistacea,Cistus monspeliensis,Coleoptera,Scarabaeidae,Oxythyrea funesta,2
MED4CA,Cistacea,Cistus salvifolius,Coleoptera,Scarabaeidae,Oxythyrea funesta,1
MED4CA,Aizoacea,Carpobrotus spp. acinaciformis,Coleoptera,Mordelidae,Mordellistena pumila,2
FRA2OP,Cactacea,Opuntia stricta,Hymenoptera,Anthophoridae,Xylocopa,1
FRA2OP,Cactacea,Opuntia stricta,Hymenoptera,Megachilidae,Anthidium,1
MED4CA,Cistacea,Cistus monspeliensis,Hymenoptera,Andrenidae,Andrena,1
MED4CA,Aizoacea,Carpobrotus spp. acinaciformis,Coleoptera,Coleotera1,Coleoptera,1
MED4CA,Cistacea,Cistus salvifolius,Coleoptera,Coleotera1,Coleoptera,1
MED4CA,Aizoacea,Carpobrotus spp. acinaciformis,Hymenoptera,Anthophoridae,Apidae,1
FRA2OP,Cactacea,Opuntia stricta,Hymenoptera,Formicidae,Camponotus aetiops,2
FRA2OP,Cactacea,Opuntia stricta,Hymenoptera,Apoidea,Apis melifera,4
MED4CA,Cistacea,Cistus salvifolius,Coleoptera,Oedemeridae,Oedemera nobilis,2
MED4CA,Aizoacea,Carpobrotus spp. acinaciformis,Coleoptera,Oedemeridae,Oedemera lurida,2
MED4CA,Cistacea,Cistus monspeliensis,Coleoptera,Oedemeridae,Oedemera lurida,1
FRA2OP,Cactacea,Opuntia stricta,Hymenoptera,Halictidae,Halictus pyrenaicus,1
FRA2OP,Cactacea,Opuntia stricta,Hymenoptera,Halictidae,Lasioglossum,1
MED4CA,Aizoacea,Carpobrotus spp. acinaciformis,Coleoptera,Scarabaeidae,Oxythyrea funesta,1
FRA2OP,Cactacea,Opuntia stricta,Hymenoptera,Colletidae,Hylaeus nigritus,2
FRA2OP,Cactacea,Opuntia stricta,Hymenoptera,Apoidea,Bombus terrestris,2
MED4CA,Cistacea,Cistus monspeliensis,Hymenoptera,Andrenidae,Andrena,1
FRA2OP,Cactacea,Opuntia stricta,Hymenoptera,Anthophoridae,Xylocopa,2
FRA2OP,Cactacea,Opuntia stricta,Hymenoptera,Formicidae,Camponotus aetiops,3
MIQ2OP,Cactacea,Opuntia stricta,Hymenoptera,Apoidea,Apis melifera,3
MED4CA,Aizoacea,Carpobrotus spp. acinaciformis,Coleoptera,Oedemeridae,Oedemera lurida,1
MED4CA,Cistacea,Cistus monspeliensis,Coleoptera,Oedemeridae,Oedemera lurida,3
MIQ2OP,Cactacea,Opuntia stricta,Hymenoptera,Halictidae,Halictus pyrenaicus,1
MIQ2OP,Cactacea,Opuntia stricta,Hymenoptera,Halictidae,Lasioglossum,1
MIQ2OP,Cactacea,Opuntia stricta,Coleoptera,Mordelidae,Mordellistena pumila,3
MIQ1OP,Dipsacacea,Scabiosa stellata,Hymenoptera,Apoidea,Apis melifera,3
MIQ2OP,Cactacea,Opuntia stricta,Hymenoptera,Andrenidae,Andrena,1
MIQ2OP,Cactacea,Opuntia stricta,Hymenoptera,Anthophoridae,Xylocopa,3
MIQ1OP,Umbelifera,Daucus carota carota,Hymenoptera,Halictidae,Halictus gemmeus,1
MIQ2OP,Cactacea,Opuntia stricta,Hymenoptera,Apoidea,Apis melifera,4
MIQ1OP,Dipsacacea,Scabiosa stellata,Coleoptera,Maloidea,Myrabilis quadripunctata,1
MIQ1OP,Papilionacea,Psoralea bituminosa,Coleoptera,Dasytidae,Dasytidae,2
MIQ2OP,Cactacea,Opuntia stricta,Hymenoptera,Apoidea,Bombus terrestris,2
MIQ1OP,Umbelifera,Daucus carota carota,Coleoptera,Mordelidae,Mordella bipunctata,3
MIQ1OP,Umbelifera,Daucus carota carota,Coleoptera,Cleridae,Trichodes apiarius,1
MIQ2OP,Cactacea,Opuntia stricta,Coleoptera,Scarabaeidae,Oxythyrea funesta,1
MIQ1OP,Umbelifera,Daucus carota carota,Coleoptera,Mordelidae,Mordellistena pumila,2
MIQ2OP,Cactacea,Opuntia stricta,Coleoptera,Oedemeridae,Oedemera flavipes,1
MIQ1OP,Dipsacacea,Scabiosa stellata,Diptera,Bumbilidae,Bombyliidae,1
MIQ1OP,Dipsacacea,Scabiosa stellata,Hymenoptera,Andrenidae,Andrena,1
MIQ2OP,Cactacea,Opuntia stricta,Hymenoptera,Anthophoridae,Xylocopa,3
MIQ1OP,Crucifera,Brassica fruticulosa,Hymenoptera,Colletidae,Colletes,1
MIQ1OP,Dipsacacea,Scabiosa stellata,Diptera,Diptera3,Diptera,1
MIQ2OP,Cactacea,Opuntia stricta,Hymenoptera,Apoidea,Apis melifera,3
MIQ2OP,Cactacea,Opuntia stricta,Hymenoptera,Halictidae,Halictus pyrenaicus,1
MIQ1OP,Dipsacacea,Scabiosa stellata,Diptera,Diptera1,Diptera,1
MIQ1OP,Convolvulacea,Convolvulus althaeoides,Hymenoptera,Halictidae,Halictus,1
MIQ2OP,Cactacea,Opuntia stricta,Hymenoptera,Apoidea,Bombus terrestris,1
MIQ2OP,Cactacea,Opuntia stricta,Coleoptera,Scarabaeidae,Oxythyrea funesta,1
MIQ2OP,Cactacea,Opuntia stricta,Hymenoptera,Anthophoridae,Xylocopa,2
MIQ1OP,Umbelifera,Daucus carota carota,Hymenoptera,Formicidae,Camponotus aetiops,1
MIQ2OP,Cactacea,Opuntia stricta,Hymenoptera,Apoidea,Apis melifera,1
MIQ1OP,Dipsacacea,Scabiosa stellata,Hymenoptera,Apoidea,Bombus terrestris,1
MIQ1OP,Umbelifera,Daucus carota carota,Coleoptera,Maloidea,Myrabilis quadripunctata,1
MIQ1OP,Dipsacacea,Scabiosa stellata,Coleoptera,Maloidea,Myrabilis quadripunctata,1
MIQ2OP,Cactacea,Opuntia stricta,Hymenoptera,Apoidea,Bombus terrestris,5
MIQ1OP,Umbelifera,Daucus carota carota,Coleoptera,Cleridae,Trichodes apiarius,1
MIQ2OP,Cactacea,Opuntia stricta,Coleoptera,Maloidea,Myrabilis quadripunctata,17
MIQ2OP,Cactacea,Opuntia stricta,Coleoptera,Scarabaeidae,Oxythyrea funesta,1
MIQ1OP,Umbelifera,Daucus carota carota,Hymenoptera,Halictidae,Halictus gemmeus,1
MIQ1OP,Dipsacacea,Scabiosa stellata,Lepidoptera,Papilonidae,Papilion machaon,1
MIQ1OP,Umbelifera,Daucus carota carota,Coleoptera,Maloidea,Myrabilis quadripunctata,1
MIQ2OP,Cactacea,Opuntia stricta,Hymenoptera,Anthophoridae,Xylocopa,2
MIQ1OP,Umbelifera,Daucus carota carota,Coleoptera,Oedemeridae,Oedemera lurida,1
MIQ1OP,Umbelifera,Daucus carota carota,Coleoptera,Dasytidae,Dasytidae,1
MIQ1OP,Umbelifera,Daucus carota carota,Coleoptera,Mordelidae,Mordellistena pumila,5
MIQ1OP,Umbelifera,Eryngium campestre,Coleoptera,Mordelidae,Mordellistena pumila,1
MIQ1OP,Umbelifera,Daucus carota carota,Hymenoptera,Andrenidae,Andrena,4
MIQ1OP,Umbelifera,Eryngium campestre,Hymenoptera,Andrenidae,Andrena,2
MIQ1OP,Dipsacacea,Scabiosa stellata,Hymenoptera,Anthophoridae,Ceratina curcubitina,1
MIQ1OP,Umbelifera,Eryngium campestre,Lepidoptera,Nymphalidae,Vanesa atlantica,1
MIQ1OP,Umbelifera,Daucus carota carota,Coleoptera,Maloidea,Myrabilis quadripunctata,1
MIQ1OP,Dipsacacea,Scabiosa stellata,Coleoptera,Maloidea,Myrabilis quadripunctata,1
MIQ1OP,Umbelifera,Daucus carota carota,Coleoptera,Cleridae,Trichodes apiarius,1
MIQ1OP,Umbelifera,Daucus carota carota,Coleoptera,Mordelidae,Mordellistena pumila,1
MIQ1OP,Umbelifera,Eryngium campestre,Hymenoptera,Andrenidae,Andrena,1
MIQ1OP,Umbelifera,Daucus carota carota,Hymenoptera,Colletidae,Hylaeus,1
MIQ1OP,Umbelifera,Daucus carota carota,Diptera,Tachinidae,Tachinidae,1
SEL2OP,Cactacea,Opuntia stricta,Coleoptera,Maloidea,Myrabilis quadripunctata,3
MIQ2OP,Dipsacacea,Scabiosa stellata,Hymenoptera,Apoidea,Apis melifera,4
SEL2OP,Cactacea,Opuntia stricta,Coleoptera,Dasytidae,Dasytidae,2
SEL2OP,Cactacea,Opuntia stricta,Coleoptera,Mordelidae,Mordella bipunctata,2
MIQ2OP,Umbelifera,Daucus carota carota,Hymenoptera,Halictidae,Halictus gemmeus,1
SEL2OP,Cactacea,Opuntia stricta,Coleoptera,Oedemeridae,Oedemera flavipes,1
MIQ2OP,Umbelifera,Daucus carota carota,Coleoptera,Dasytidae,Dasytidae,3
MIQ2OP,Umbelifera,Daucus carota carota,Coleoptera,Mordelidae,Mordella bipunctata,2
MIQ2OP,Umbelifera,Daucus carota carota,Coleoptera,Mordelidae,Mordellistena pumila,3
SEL2OP,Cactacea,Opuntia stricta,Hymenoptera,Scolidae,Scolia,1
MIQ2OP,Convolvulacea,Convolvulus althaeoides,Hymenoptera,Andrenidae,Andrena,1
MIQ2OP,Umbelifera,Daucus carota carota,Hymenoptera,Andrenidae,Andrena,3
SEL2OP,Cactacea,Opuntia stricta,Hymenoptera,Megachilidae,Anthidium,1
SEL2OP,Cactacea,Opuntia stricta,Hymenoptera,Megachilidae,Anthidium sticticum,1
SEL2OP,Cactacea,Opuntia stricta,Hymenoptera,Apoidea,Apis melifera,3
SEL2OP,Cactacea,Opuntia stricta,Hymenoptera,Halictidae,Lasioglossum,1
MIQ2OP,Umbelifera,Daucus carota carota,Diptera,Tachinidae,Tachinidae,1
MIQ2OP,Dipsacacea,Scabiosa stellata,Hymenoptera,Halictidae,Halictus,1
SEL2OP,Cactacea,Opuntia stricta,Hymenoptera,Apoidea,Bombus terrestris,2
SEL2OP,Cactacea,Opuntia stricta,Coleoptera,Scarabaeidae,Oxythyrea funesta,1
SEL2OP,Cactacea,Opuntia stricta,Hymenoptera,Megachilidae,Anthidium,2
MIQ2OP,Dipsacacea,Scabiosa stellata,Hymenoptera,Apoidea,Apis melifera,3
SEL2OP,Cactacea,Opuntia stricta,Hymenoptera,Apoidea,Bombus terrestris,1
SEL2OP,Cactacea,Opuntia stricta,Hymenoptera,Anthophoridae,Xylocopa,2
SEL2OP,Cactacea,Opuntia stricta,Hymenoptera,Apoidea,Bombus terrestris,1
MIQ2OP,Umbelifera,Daucus carota carota,Coleoptera,Mordelidae,Mordella bipunctata,4
MIQ2OP,Umbelifera,Eryngium campestre,Coleoptera,Oedemeridae,Oedemera flavipes,2
SEL2OP,Cariofilacea,Dianthus caryophillus,Coleoptera,Oedemeridae,Oedemera flavipes,1
FRA1OP,Crassulacea,Sedum sediforme,Hymenoptera,Halictidae,Halictus pyrenaicus,1
FRA1OP,Crassulacea,Sedum sediforme,Hymenoptera,Halictidae,Halictus gemmeus,2
FRA1OP,Crassulacea,Sedum sediforme,Hymenoptera,Andrenidae,Andrena,1
FRA2OP,Crassulacea,Sedum sediforme,Hymenoptera,Halictidae,Halictus gemmeus,3
MIQ2OP,Crassulacea,Sedum sediforme,Hymenoptera,Halictidae,Halictus gemmeus,1
MIQ2OP,Dipsacacea,Scabiosa stellata,Lepidoptera,Pieridae,Pieris rapae,1
MIQ2OP,Crassulacea,Sedum sediforme,Hymenoptera,Scolidae,Scolia,1
MIQ2OP,Dipsacacea,Scabiosa stellata,Coleoptera,Cleridae,Trichodes apiarius,1
MIQ2OP,Umbelifera,Daucus carota carota,Hymenoptera,Andrenidae,Andrena,1
MIQ2OP,Umbelifera,Daucus carota carota,Hymenoptera,Calcididae,Chalcididae,1
SEL1OP,Crassulacea,Sedum sediforme,Hymenoptera,Apoidea,Apis melifera,1
MIQ2OP,Umbelifera,Daucus carota carota,Diptera,Tachinidae,Tachinidae,1
SEL1OP,Crassulacea,Sedum sediforme,Coleoptera,Oedemeridae,Oedemera flavipes,1
MIQ2OP,Umbelifera,Daucus carota carota,Hymenoptera,Halictidae,Halictus gemmeus,2
MIQ2OP,Umbelifera,Eryngium campestre,Hymenoptera,Halictidae,Halictus gemmeus,3
MIQ2OP,Umbelifera,Eryngium campestre,Hymenoptera,Colletidae,Hylaeus nigritus,1
SEL1OP,Crassulacea,Sedum sediforme,Coleoptera,Mordelidae,Mordellistena pumila,1
SEL1OP,Crassulacea,Sedum sediforme,Hymenoptera,Scolidae,Scolia,1
SEL1OP,Crassulacea,Sedum sediforme,Hymenoptera,Anthophoridae,Nomada,1
MIQ2OP,Umbelifera,Daucus carota carota,Coleoptera,Mordelidae,Mordellistena pumila,2
MIQ2OP,Umbelifera,Eryngium campestre,Coleoptera,Buprestidae,Buprestidae,1
MIQ2OP,Umbelifera,Eryngium campestre,Hymenoptera,Andrenidae,Andrena,2
SEL1OP,Crassulacea,Sedum sediforme,Hymenoptera,Megachilidae,Megachilidae,2
SEL1OP,Crassulacea,Sedum sediforme,Hymenoptera,Halictidae,Halictus,1
MIQ2OP,Dipsacacea,Scabiosa stellata,Diptera,Bumbilidae,Conophorus virescens,1
SEL1OP,Crassulacea,Sedum sediforme,Hymenoptera,Apoidea,Bombus terrestris,1
SEL1OP,Rutaceae,Ruta chalepensis,Hymenoptera,Vespidae,Polistes gallicum,1
SEL1OP,Umbelifera,Daucus carota carota,Coleoptera,Dasytidae,Dasytidae,12
SEL1OP,Crassulacea,Sedum sediforme,Hymenoptera,Andrenidae,Andrena,1
SEL1OP,Rutaceae,Ruta chalepensis,Coleoptera,Cleridae,Trichodes apiarius,1
SEL1OP,Rutaceae,Ruta chalepensis,Coleoptera,Oedemeridae,Oedemera flavipes,1
SEL1OP,Umbelifera,Daucus carota carota,Coleoptera,Mordelidae,Mordellistena pumila,3
SEL1OP,Rutaceae,Ruta chalepensis,Coleoptera,Mordelidae,Mordellistena pumila,4
SEL1OP,Umbelifera,Daucus carota carota,Coleoptera,Oedemeridae,Oedemera barbara,1
SEL1OP,Rutaceae,Ruta chalepensis,Hymenoptera,Andrenidae,Andrena,3
SEL1OP,Papilionacea,Psoralea bituminosa,Hymenoptera,Megachilidae,Anthidium,1
SEL1OP,Cistacea,Helianthemum guttatum,Hymenoptera,Megachilidae,Megachilidae,1
SEL1OP,Dipsacacea,Scabiosa stellata,Hymenoptera,Apoidea,Apis melifera,1
SEL1OP,Papilionacea,Psoralea bituminosa,Hymenoptera,Halictidae,Lasioglossum,1
SEL1OP,Rutaceae,Ruta chalepensis,Hymenoptera,Colletidae,Hylaeus nigritus,2
SEL1OP,Umbelifera,Daucus carota carota,Coleoptera,Dasytidae,Dasytidae,3
SEL1OP,Crassulacea,Sedum sediforme,Hymenoptera,Colletidae,Colletes,2
SEL1OP,Umbelifera,Daucus carota carota,Coleoptera,Mordelidae,Mordella bipunctata,2
SEL1OP,Crassulacea,Sedum sediforme,Coleoptera,Mordelidae,Mordella bipunctata,1
SEL1OP,Umbelifera,Daucus carota carota,Coleoptera,Mordelidae,Mordellistena pumila,3
SEL1OP,Umbelifera,Eryngium campestre,Coleoptera,Mordelidae,Mordellistena pumila,3
SEL1OP,Umbelifera,Eryngium campestre,Coleoptera,Oedemeridae,Oedemera barbara,1
SEL2OP,Crassulacea,Sedum sediforme,Coleoptera,Cleridae,Trichodes apiarius,1
SEL1OP,Rutaceae,Ruta chalepensis,Hymenoptera,Sphecidae,Cerceris,1
SEL1OP,Dipsacacea,Scabiosa stellata,Hymenoptera,Halictidae,Halictus,1
SEL1OP,Umbelifera,Eryngium campestre,Coleoptera,Oedemeridae,Oedemera flavipes,3
SEL1OP,Umbelifera,Daucus carota carota,Coleoptera,Mordelidae,Mordellistena pumila,2
SEL2OP,Crassulacea,Sedum sediforme,Hymenoptera,Andrenidae,Andrena,1
SEL1OP,Rutaceae,Ruta chalepensis,Hymenoptera,Andrenidae,Andrena,2
SEL2OP,Crassulacea,Sedum sediforme,Hymenoptera,Megachilidae,Anthidium,1
BAT1CA,Crucifera,Alyssum maritimum,Hymenoptera,Megachilidae,Anthidium sticticum,1
BAT1CA,Crucifera,Alyssum maritimum,Coleoptera,Oedemeridae,Oedemera flavipes,1
BAT2CA,Crucifera,Alyssum maritimum,Hymenoptera,Halictidae,Lasioglossum,1
BAT2CA,Crucifera,Alyssum maritimum,Hymenoptera,Andrenidae,Andrena,1
SEL1OP,Umbelifera,Daucus carota carota,Coleoptera,Mordelidae,Mordellistena pumila,4
BAT2CA,Crucifera,Alyssum maritimum,Coleoptera,Oedemeridae,Oedemera lurida,1
BAT1CA,Papilionacea,Lathirus clymenum,Hymenoptera,Megachilidae,Anthidium sticticum,2
BAT2CA,Papilionacea,Lathirus clymenum,Hymenoptera,Megachilidae,Anthidium sticticum,1
SEL2OP,Umbelifera,Daucus carota carota,Hymenoptera,Eulophidae?_Scelionidae?,Eulophidae Scelionidae,1
SEL2OP,Rutaceae,Ruta chalepensis,Hymenoptera,Halictidae,Halictus gemmeus,1
SEL2OP,Rutaceae,Ruta chalepensis,Hymenoptera,Vespidae,Polistes gallicum,1
MED2CA,Papilionacea,Lathirus clymenum,Hymenoptera,Megachilidae,Anthidium sticticum,1
SEL2OP,Papilionacea,Psoralea bituminosa,Coleoptera,Maloidea,Myrabilis quadripunctata,3
SEL2OP,Umbelifera,Daucus carota carota,Coleoptera,Dasytidae,Dasytidae,10
BAT1CA,Timeleacea,Thymelaea hirusta,Hymenoptera,Apoidea,Apis melifera,2
SEL2OP,Umbelifera,Daucus carota carota,Coleoptera,Ptinidae?_Bruchidae?,Ptinidae Bruchidae,1
