"","db","query","family","order","Pollinator"
"2063","ncbi","531",NA,NA,"Coriscus"
"2066","ncbi","955",NA,NA,"Haltica"
"2067","ncbi","1623",NA,NA,"Peponapis"
"2068","ncbi","2154",NA,NA,"Trichophora"
"2069","ncbi","168",NA,NA,"Araba"
"2070","ncbi","312",NA,NA,"Callida"
"2071","ncbi","391",NA,NA,"Ceratosmia"
"2074","ncbi","511",NA,NA,"Compsomyia"
"2076","ncbi","723",NA,NA,"Ennyomma"
"2077","ncbi","1075",NA,NA,"Idiostethus"
"2078","ncbi","1084",NA,NA,"Iomelissa"
"2082","ncbi","1335",NA,NA,"Midas"
"2083","ncbi","1372",NA,NA,"Myiolepta"
"2087","ncbi","1836",NA,NA,"Psysocephala"
"2089","ncbi","1960",NA,NA,"Seracosomus"
"2090","ncbi","1977",NA,NA,"Siphoplagia"
"2091","ncbi","1986",NA,NA,"Sophropompilus"
"2092","ncbi","2066",NA,NA,"Systogaster"
"2093","ncbi","2120",NA,NA,"Thlipsogaster"
"2097","ncbi","196",NA,NA,"Astatus"
"2102","ncbi","844",NA,NA,"Eutelus"
"2104","ncbi","1048",NA,NA,"Hylemyia"
"2105","ncbi","1160",NA,NA,"Leucostoma"
"2109","ncbi","2245",NA,NA,"Zaodontomerus"
"2110","ncbi","2246",NA,NA,"Zaperdita"
"2111","ncbi","113",NA,NA,"Angitia"
"2112","ncbi","146",NA,NA,"Anthomyiella"
"2113","ncbi","269",NA,NA,"Bombias"
"2114","ncbi","422",NA,NA,"Charidryas"
"2117","ncbi","1153",NA,NA,"Leskiomima"
"2118","ncbi","1196",NA,NA,"Lophocrabro"
"2120","ncbi","1433",NA,NA,"Nothus"
"2121","ncbi","1473",NA,NA,"Oligotropus"
"2122","ncbi","1529",NA,NA,"Oxystoglossa"
"2123","ncbi","1549",NA,NA,"Pamphila"
"2124","ncbi","1668",NA,NA,"Phoramia"
"2126","ncbi","1948",NA,NA,"Scotiptera"
"2127","ncbi","2039",NA,NA,"Stratiomyia"
"2128","ncbi","2107",NA,NA,"Teuchocnemis"
"2132","ncbi","414",NA,NA,"Chalcomyia"
"2135","ncbi","716",NA,NA,"Emphor"
"2140","ncbi","1375",NA,NA,"Myocera"
"2142","ncbi","1573",NA,NA,"Paranomia"
"2144","ncbi","2009",NA,NA,"Stelidium"
"2145","ncbi","2188",NA,NA,"Uranotes"
"2146","ncbi","2224",NA,NA,"Xanthosarus"
"2149","ncbi","262",NA,NA,"Blepharipus"
"2152","ncbi","372",NA,NA,"Centrias"
"2154","ncbi","830",NA,NA,"Euryceromyia"
"2155","ncbi","917",NA,NA,"Gnathosmia"
"2157","ncbi","1174",NA,NA,"Lina"
"2160","ncbi","1626",NA,NA,"Perditella"
"2162","ncbi","1808",NA,NA,"Pseudocrabro"
"2163","ncbi","1839",NA,NA,"Pterochilus"
"2166","ncbi","1967",NA,NA,"Seymnus"
"2169","ncbi","245",NA,NA,"Belpharipeza"
"2172","ncbi","389",NA,NA,"Ceratomyiella"
"2174","ncbi","494",NA,NA,"Clytochrysus"
"2175","ncbi","534",NA,NA,"Corphyra"
"2176","ncbi","717",NA,NA,"Emphoropsis"
"2180","ncbi","849",NA,NA,"Euvanessa"
"2181","ncbi","1017",NA,NA,"Homalomyia"
"2183","ncbi","1228",NA,NA,"Macrodyctium"
"2184","ncbi","1288",NA,NA,"Mellota"
"2187","ncbi","1534",NA,NA,"Pachybrachys"
"2188","ncbi","1653",NA,NA,"Phasioclista"
"2193","ncbi","2201",NA,NA,"Verbenapis"
"2194","ncbi","2235",NA,NA,"Xyalosema"
"2200","ncbi","240",NA,NA,"Bathycetes"
"2202","ncbi","337",NA,NA,"Camptoneura"
"2205","ncbi","409",NA,NA,"Chaetophleps"
"2206","ncbi","447",NA,NA,"Chloerocampa"
"2208","ncbi","635",NA,NA,"Dialonia"
"2210","ncbi","637",NA,NA,"Diaplazon"
"2211","ncbi","762",NA,NA,"Epysiron"
"2217","ncbi","950",NA,NA,"Halictoides"
"2218","ncbi","953",NA,NA,"Hallictoides"
"2219","ncbi","1010",NA,NA,"Hippodamea"
"2220","ncbi","1061",NA,NA,"Hypocrabro"
"2221","ncbi","1074",NA,NA,"Idiolespa"
"2222","ncbi","1191",NA,NA,"Lobioptera"
"2226","ncbi","1347",NA,NA,"Monilosmia"
"2227","ncbi","1349",NA,"Pavlovales","Monochrysis"
"2229","ncbi","1407",NA,NA,"Neofischeria"
"2231","ncbi","1592",NA,NA,"Parempis"
"2235","ncbi","1764",NA,NA,"Proboscimyia"
"2236","ncbi","1827",NA,NA,"Psilodora"
"2238","ncbi","1914",NA,NA,"Sarogaster"
"2240","ncbi","1956",NA,NA,"Seoptera"
"2241","ncbi","1970",NA,NA,"Silaon"
"2247","ncbi","2217",NA,NA,"Xanthidia"
"2252","ncbi","1440",NA,NA,"Number"
